"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2001-07-16",17.758814,18.360706,17.639627,18.271317,1417200,11.804871
"2001-07-17",18.271317,19.367834,18.271317,19.063908,4044100,12.31695
"2001-07-18",18.920883,18.938761,18.295153,18.438177,2129200,11.912671
"2001-07-19",18.58716,18.885128,18.354746,18.467974,614200,11.931925
"2001-07-20",18.473934,18.920883,18.444138,18.849371,1095200,12.178337
"2001-07-23",18.730185,19.13542,18.628876,18.974518,1428700,12.259192
"2001-07-24",18.825535,18.831493,17.997187,18.259398,1544100,11.797168
"2001-07-25",18.175966,18.324949,17.585993,18.295153,1186000,11.820268
"2001-07-26",17.878,18.187885,17.78861,18.164047,1150100,11.735563
"2001-07-27",17.937593,17.937593,17.25823,17.299944,2128700,11.177273
"2001-07-30",17.520439,17.878,17.371456,17.818407,1640200,11.512245
"2001-07-31",17.848204,18.086576,17.687302,17.818407,621800,11.512245
"2001-08-01",17.699221,17.961432,17.454887,17.860123,639700,11.539197
"2001-08-02",17.776691,17.901836,17.627708,17.699221,705200,11.435245
"2001-08-03",17.723057,18.05678,17.60387,18.003145,604000,11.631604
"2001-08-06",17.937593,17.96739,17.514481,17.78861,448300,11.492995
"2001-08-07",15.792233,16.388166,15.702844,16.060404,6186200,10.376423
"2001-08-08",16.149794,16.435841,16.149794,16.400085,2613000,10.59589
"2001-08-09",16.394127,16.924507,16.239183,16.727848,2430500,10.807647
"2001-08-10",16.876831,17.037733,16.555029,16.566946,1506500,10.703696
"2001-08-13",16.560987,16.745728,16.251102,16.400085,1055900,10.59589
"2001-08-14",16.507353,16.668255,16.239183,16.364328,1462600,10.572783
"2001-08-15",16.44776,16.44776,16.197468,16.26898,936700,10.511183
"2001-08-16",16.35837,16.775524,16.251102,16.733809,1566900,10.811502
"2001-08-17",16.614622,16.835117,16.459679,16.507353,944100,10.665193
"2001-08-20",16.507353,16.79936,16.239183,16.769564,879000,10.834601
"2001-08-21",16.9841,17.037733,16.721889,16.811279,886000,10.861558
"2001-08-22",16.960262,16.960262,16.388166,16.6325,1403500,10.746048
"2001-08-23",16.686132,16.918547,16.44776,16.835117,1333700,10.876955
"2001-08-24",16.715931,17.043694,16.596743,17.019855,878900,10.996316
"2001-08-27",16.924507,17.109245,16.763605,16.811279,432700,10.861558
"2001-08-28",16.745728,17.025816,16.513313,16.626539,1000500,10.74219
"2001-08-29",16.680174,16.924507,16.596743,16.847034,577000,10.884657
"2001-08-30",16.775524,17.460846,16.775524,17.127125,1871400,11.065618
"2001-08-31",17.246311,17.520439,16.996019,17.055613,1103400,11.019416
"2001-09-04",17.282066,17.371456,17.055613,17.186718,877900,11.10412
"2001-09-05",17.216515,17.305904,16.924507,17.180758,898400,11.100271
"2001-09-06",17.091368,17.192677,16.477556,16.513313,751800,10.669041
"2001-09-07",16.513313,16.513313,15.851827,16.024647,900500,10.353322
"2001-09-10",15.613453,16.26898,15.613453,16.000811,633000,10.33792
"2001-09-17",15.345284,15.351243,14.48118,14.820862,1359900,9.575573
"2001-09-18",14.802984,15.077113,14.451384,14.946008,1293000,9.656427
"2001-09-19",14.797025,14.850658,13.76606,14.308359,2009200,9.244452
"2001-09-20",14.3024,14.773188,13.813735,14.773188,2770100,9.544771
"2001-09-21",14.3024,15.1963,14.153417,15.083073,2862800,9.744981
"2001-09-24",16.388166,16.388166,15.494267,15.673047,1554800,10.126158
"2001-09-25",15.494267,15.91142,15.434673,15.506186,2118600,10.018352
"2001-09-26",15.512145,16.030607,15.470429,15.541942,1371600,10.041451
"2001-09-27",15.541942,15.64325,15.315487,15.46447,1183800,9.9914
"2001-09-28",15.46447,15.64325,15.404877,15.64325,1382400,10.106907
