"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2001-01-02",37.580944,38.679462,37.118408,37.407494,927400,23.240345
"2001-01-03",37.81221,38.621647,36.482422,37.696579,1113600,23.419949
"2001-01-04",37.580944,39.257633,37.465309,38.21693,1330000,23.743212
"2001-01-05",38.448196,38.563831,36.829323,37.754395,675800,23.45586
"2001-01-08",37.63876,38.332561,37.407494,37.696579,963600,23.419949
"2001-01-09",37.002777,37.465309,36.077705,36.366791,1225900,22.593773
"2001-01-10",36.713692,37.176228,35.326088,36.540241,940300,22.701546
"2001-01-11",36.366791,36.366791,34.921368,35.210453,879300,21.875374
"2001-01-12",35.268269,35.268269,33.9963,34.632286,606400,21.516167
"2001-01-16",33.765034,35.094818,33.475948,34.458836,1585900,21.408417
"2001-01-17",34.921368,35.094818,33.591583,34.111935,866200,21.192894
"2001-01-18",33.9963,34.343201,33.360313,33.880665,679900,21.049217
"2001-01-19",33.418133,33.765034,32.608696,33.244682,647800,20.654089
"2001-01-22",33.533764,34.16975,32.37743,33.591583,1175900,20.869612
"2001-01-23",33.591583,34.863552,33.418133,33.591583,1044500,20.869612
"2001-01-24",33.360313,34.227566,33.071232,34.16975,1308300,21.228811
"2001-01-25",34.227566,35.383904,34.16975,34.574467,1583200,21.480249
"2001-01-26",34.343201,34.343201,33.418133,33.649399,840300,20.905533
"2001-01-29",33.413506,34.690102,33.126736,34.28307,710800,21.299215
"2001-01-30",35.060131,35.198891,33.774284,35.18964,1500300,21.862444
"2001-01-31",35.069382,35.70768,34.838112,34.939869,1221000,21.707275
"2001-02-01",34.458836,35.383904,34.329323,35.106384,1036600,21.810719
"2001-02-02",35.106384,35.430157,34.690102,35.124886,886500,21.82222
"2001-02-05",35.134136,36.271969,35.115635,36.022202,1073800,22.379688
"2001-02-06",36.725254,36.762257,34.690102,35.531914,2608600,22.075083
"2001-02-07",35.152637,36.077705,34.856613,35.864941,805500,22.281996
"2001-02-08",37.002777,37.002777,35.985199,36.586494,1691500,22.730272
"2001-02-09",36.077705,36.447735,35.892693,36.086956,1246500,22.419924
"2001-02-12",36.318222,36.401482,35.61517,36.068455,694000,22.408438
"2001-02-13",36.077705,36.540241,35.99445,36.52174,1425100,22.690042
"2001-02-14",37.002777,37.178539,36.234966,36.493988,1212000,22.672794
"2001-02-15",37.465309,37.557816,36.725254,36.95652,1632700,22.960171
"2001-02-16",36.123959,36.632748,35.61517,36.37373,1462700,22.598085
"2001-02-20",36.864014,37.419056,36.540241,37.243294,1103300,23.13833
"2001-02-21",36.771507,36.910267,35.171139,35.99445,1492300,22.362452
"2001-02-22",36.077705,37.002777,35.33765,35.800186,804400,22.241764
"2001-02-23",35.985199,35.985199,34.338577,34.560593,1167800,21.471626
"2001-02-26",34.95837,36.077705,34.828861,35.920444,1443400,22.316475
"2001-02-27",35.800186,36.558743,35.800186,36.38298,990900,22.603834
"2001-02-28",36.604996,37.511562,36.604996,37.511562,1357400,23.30501
"2001-03-01",37.280296,37.465309,36.503239,36.975021,1284300,22.971664
"2001-03-02",37.04903,37.252544,36.336727,37.18779,1024500,23.103848
"2001-03-05",36.725254,37.650322,36.725254,37.419056,1728600,23.247528
"2001-03-06",37.789085,39.315449,37.465309,38.695652,2029600,24.040636
"2001-03-07",38.695652,39.454208,38.408882,39.315449,1296400,24.425711
"2001-03-08",39.296947,39.916744,38.455135,39.777985,1283700,24.713074
"2001-03-09",39.740982,40.194263,39.03793,39.546715,1006800,24.569384
"2001-03-12",38.899166,39.500462,38.038853,38.103607,1054400,23.672819
"2001-03-13",37.419056,38.020351,36.308971,37.742832,1168000,23.448677
"2001-03-14",37.465309,38.6679,37.002777,37.058281,841100,23.023386
"2001-03-15",37.058281,37.234043,36.679001,36.873264,657600,22.908443
"2001-03-16",36.170212,37.604069,36.170212,36.734505,1401500,22.822237
"2001-03-19",36.910267,37.946346,36.771507,37.437557,891800,23.259022
"2001-03-20",36.077705,38.112858,35.735432,36.790009,1761500,22.85672
"2001-03-21",36.632748,36.641998,35.374653,35.71693,1301400,22.190029
"2001-03-22",35.106384,35.106384,33.672527,34.801109,1318100,21.62105
"2001-03-23",34.921368,36.133209,34.856613,35.920444,1288700,22.316475
"2001-03-26",35.920444,37.002777,35.911194,36.484737,909600,22.667061
"2001-03-27",36.077705,36.308971,35.430157,36.077705,1878900,22.414181
"2001-03-28",35.522663,36.068455,34.884365,35.957447,953400,22.339462
"2001-03-29",35.33765,35.938946,34.680851,35.013878,1146500,21.868801
"2001-03-30",34.921368,35.800186,34.458836,35.522663,1244500,22.186577
"2001-04-02",36.077705,36.947269,35.985199,36.632748,1768200,22.879906
"2001-04-03",36.447735,36.447735,35.513412,35.596668,830900,22.232798
"2001-04-04",35.134136,37.141537,35.134136,36.716003,1391100,22.931917
"2001-04-05",36.706753,37.927845,36.493988,37.567066,1644200,23.463469
"2001-04-06",37.465309,37.465309,36.077705,37.178539,767100,23.2208
"2001-04-09",37.604069,38.797409,37.576317,38.242367,899000,23.885239
"2001-04-10",38.852913,40.185013,38.788158,40.027752,1493400,25.000359
"2001-04-11",39.685478,39.888992,38.6679,39.361702,1612700,24.584341
"2001-04-12",39.130436,39.805737,38.575394,39.361702,981300,24.584341
"2001-04-16",39.315449,40.675301,39.102684,39.777985,834900,24.844349
"2001-04-17",39.03793,39.592968,38.714153,39.121185,1261900,24.43412
"2001-04-18",39.130436,40.703053,38.6679,40.675301,1103700,25.404793
"2001-04-19",40.333023,40.333023,39.269196,39.583717,979200,24.723007
"2001-04-20",39.583717,40.055504,38.834412,39.130436,755500,24.439903
"2001-04-23",39.03793,40.333023,38.445885,39.084183,1349900,24.411018
"2001-04-24",39.084183,40.703053,39.065681,39.71323,793500,24.803886
"2001-04-25",39.03793,39.777985,38.427383,39.546715,750600,24.699898
"2001-04-26",39.084183,40.231266,38.973171,40.046253,957200,25.011896
"2001-04-27",40.101757,40.240517,39.565216,40.194263,634000,25.104343
"2001-04-30",39.870491,40.749306,39.093433,39.768734,789700,24.838556
"2001-05-01",39.315449,39.824238,38.991673,39.602219,683900,24.734575
"2001-05-02",39.509712,39.685478,38.862164,39.685478,1062100,24.78657
"2001-05-03",39.592968,39.592968,38.52914,39.296947,775200,24.543905
"2001-05-04",39.065681,40.083256,38.593895,40.037003,598200,25.006111
"2001-05-07",40.268269,40.555042,39.500462,39.611469,714600,24.740345
"2001-05-08",39.62072,40.407032,39.574467,40.203514,587700,25.11013
"2001-05-09",39.777985,40.841812,39.777985,40.490288,672300,25.289238
"2001-05-10",40.656799,41.369102,40.656799,41.165588,694100,25.711014
"2001-05-11",41.174839,41.174839,40.296021,40.758556,1150800,25.456785
"2001-05-14",40.823311,41.211842,40.758556,41.211842,575000,25.739902
"2001-05-15",41.026829,41.581867,40.81406,41.507862,654100,25.924789
"2001-05-16",41.489361,43.432007,41.396854,43.200741,1388600,26.982105
"2001-05-17",43.154488,43.959297,43.126736,43.950047,2007500,27.450113
"2001-05-18",43.47826,43.70953,42.321922,42.543941,2164700,26.571884
"2001-05-21",42.645699,42.876965,42.257168,42.543941,1332300,26.571884
"2001-05-22",42.876965,42.987972,42.275669,42.923218,1673000,26.808786
"2001-05-23",42.830711,42.830711,42.349678,42.553192,1453800,26.577671
"2001-05-24",42.460686,42.645699,41.62812,41.674377,1797800,26.028784
