"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2001-04-04",0.871094,0.882813,0.867188,0.882813,318400,0.765524
"2001-04-05",0.872069,0.902344,0.867188,0.871094,220800,0.755362
"2001-04-06",0.873044,0.875,0.867188,0.871094,526400,0.755362
"2001-04-09",0.870625,0.876875,0.870625,0.875,52800,0.758749
"2001-04-10",0.878125,0.88125,0.870625,0.870625,16000,0.754955
"2001-04-11",0.87625,0.8825,0.875,0.880625,512000,0.763627
"2001-04-12",0.875,0.875,0.86875,0.874375,345600,0.758207
"2001-04-16",0.873125,0.874375,0.868125,0.871875,121600,0.756039
"2001-04-17",0.878125,0.878125,0.87,0.87,44800,0.754413
"2001-04-18",0.879375,0.884375,0.8625,0.88125,361600,0.764169
"2001-04-19",0.878125,0.895625,0.87125,0.880625,494400,0.763627
"2001-04-20",0.875,0.88625,0.86875,0.88,646400,0.763085
"2001-04-23",0.871875,0.875,0.87125,0.875,318400,0.758749
"2001-04-24",0.868125,0.875,0.84375,0.86875,1676800,0.753329
"2001-04-25",0.87625,0.87625,0.87125,0.875,209600,0.758749
"2001-04-26",0.859375,0.9375,0.859375,0.89375,553600,0.775008
"2001-04-27",0.8875,0.940625,0.88125,0.940625,352000,0.815655
"2001-04-30",0.9375,0.95,0.9375,0.95,131200,0.823785
"2001-05-01",0.94375,1.019375,0.943125,1,352000,0.867142
"2001-05-02",0.989375,1.025625,0.989375,1.025625,35200,0.889362
"2001-05-03",1.008125,1.01375,0.990625,0.9925,134400,0.860638
"2001-05-04",0.99625,1.0275,0.9925,1.00625,52800,0.872561
"2001-05-07",1.00125,1.011875,1.00125,1.011875,16000,0.877439
"2001-05-08",1.025,1.025,1,1.00625,142400,0.872561
"2001-05-09",1.004375,1.011875,0.99375,1.003125,185600,0.869852
"2001-05-10",0.994375,0.9975,0.955,0.9625,102400,0.834624
"2001-05-11",0.9625,1.025625,0.9625,0.999375,483200,0.8666
"2001-05-14",0.999375,1.00625,0.999375,1.00625,67200,0.872561
"2001-05-15",1.0125,1.028125,0.985,0.985,67200,0.854135
"2001-05-16",1,1.02625,0.99375,0.99375,110400,0.861722
"2001-05-17",1.001875,1.0275,1,1.015625,88000,0.880691
"2001-05-18",1.008125,1.008125,1.000625,1.000625,32000,0.867684
"2001-05-21",1.008125,1.009375,0.985,0.98625,449600,0.855219
"2001-05-22",0.991875,0.991875,0.9625,0.971875,649600,0.842754
"2001-05-23",0.97,0.9725,0.965,0.9725,316800,0.843296
"2001-05-24",0.965,0.97875,0.965,0.968125,115200,0.839502
"2001-05-25",0.968125,1,0.968125,0.973125,144000,0.843837
"2001-05-29",0.984375,0.984375,0.965,0.965,219200,0.836792
"2001-05-30",0.965,0.96875,0.95875,0.95875,2465600,0.831372
"2001-05-31",0.961875,0.971875,0.96125,0.97125,835200,0.842212
"2001-06-01",0.968125,0.990625,0.964375,0.990625,926400,0.859012
"2001-06-04",0.99375,0.998125,0.98125,0.988125,2e+05,0.856845
"2001-06-05",0.985625,0.995,0.98,0.980625,1400000,0.850341
"2001-06-06",0.98125,0.98125,0.96625,0.97375,188800,0.844379
"2001-06-07",0.97375,1,0.97375,1,424000,0.867142
"2001-06-08",0.996875,1.004375,0.991875,1.003125,1180800,0.869852
"2001-06-11",0.995,1.005,0.99375,1.00125,372800,0.868226
"2001-06-12",1.003125,1.00375,0.995625,0.9975,1155200,0.864974
"2001-06-13",0.9975,1.003125,0.99625,0.99625,628800,0.86389
"2001-06-14",0.996875,1.00625,0.996875,0.99875,1292800,0.866058
"2001-06-15",1.000625,1.0125,1,1,224000,0.867142
"2001-06-18",1.003125,1.00375,0.993125,0.993125,243200,0.86118
