"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2001-01-02",59.0625,60.75,58.75,59.59375,4651200,35.615295
"2001-01-03",59,59.9375,58.1875,58.90625,4754400,35.204407
"2001-01-04",58.9375,59.75,57.78125,59.5,4060400,35.55925
"2001-01-05",58.5,58.5,55.28125,57.28125,8367000,34.233253
"2001-01-08",56.5,57.6875,54.78125,57.625,5486600,34.438679
"2001-01-09",57.46875,57.59375,56.0625,56.71875,3962800,33.897087
"2001-01-10",55.3125,56.25,54.5,56.15625,4344400,33.560921
"2001-01-11",56.1875,56.96875,54.78125,56.0625,4190600,33.50489
"2001-01-12",56.0625,56.09375,54.25,54.84375,3655800,32.77652
"2001-01-16",55.3125,56.75,55.03125,56.75,4247400,33.915768
"2001-01-17",53.25,55,52.9375,55,11552200,32.869896
"2001-01-18",55,55,53.875,54.5,5365800,32.571083
"2001-01-19",54.46875,54.46875,53.09375,53.375,4061600,31.898743
"2001-01-22",53.28125,54.5,52.71875,54.4375,4052400,32.533741
"2001-01-23",54.4375,55.84375,54.21875,55.5,3528800,33.16872
"2001-01-24",54.75,55.3125,52.875,53.5625,3703000,32.010796
"2001-01-25",53.5,54.90625,52.03125,54.75,4224000,32.720501
"2001-01-26",54.78125,55.28125,53.4375,53.65625,2956000,32.06683
"2001-01-29",53.654999,53.900002,52.935001,53.645,3075400,32.060104
"2001-01-30",53.375,56,53.224998,55.700001,4625200,33.288258
"2001-01-31",55.705002,56.450001,55.205002,55.325001,4077800,33.064121
"2001-02-01",55.450001,56.744999,54.755001,55.775002,3784600,33.333057
"2001-02-02",55.400002,55.849998,53.799999,54.365002,3324200,32.49041
"2001-02-05",54.150002,55.82,54.150002,54.884998,3290600,32.801167
"2001-02-06",55.549999,56.625,55.110001,55.830002,3080600,33.365944
"2001-02-07",55.549999,57.075001,55.549999,55.939999,2803600,33.431675
"2001-02-08",56.435001,56.474998,55.595001,56.025002,2102400,33.482479
"2001-02-09",56.150002,56.154999,55.220001,55.330002,1741800,33.067123
"2001-02-12",55.240002,56.240002,55.189999,56.240002,2721800,33.610962
"2001-02-13",56.240002,57.700001,56.099998,57.07,3377200,34.106998
"2001-02-14",57.07,57.07,54.505001,55.485001,4208000,33.159771
"2001-02-15",55.424999,57.450001,55.025002,57.375,2804200,34.28928
"2001-02-16",57.375,57.474998,55.735001,56.610001,3509600,33.832104
"2001-02-20",56.615002,57.369999,56.575001,56.919998,3459400,34.017372
"2001-02-21",56.5,57.119999,55.625,55.630001,3193800,33.600586
"2001-02-22",56.174999,56.25,54.314999,55.125,4349600,33.295574
"2001-02-23",55.474998,55.700001,54.935001,55.200001,5620400,33.340889
"2001-02-26",55.5,55.950001,55.035,55.674999,3368000,33.627781
"2001-02-27",56.150002,56.740002,55.349998,56.5,3815800,34.12608
"2001-02-28",56.505001,57.035,56.014999,56.375,4183200,34.050594
"2001-03-01",56.375,56.470001,54.650002,54.799999,5021800,33.099293
