"","CHK.Open","CHK.High","CHK.Low","CHK.Close","CHK.Volume","CHK.Adjusted"
"2001-01-02",9.342479,9.401608,8.396405,8.514664,3398400,7.257668
"2001-01-03",8.514664,8.692053,7.923368,8.396405,2934000,7.156866
"2001-01-04",8.278146,8.396405,7.62772,8.100757,3240800,6.904862
"2001-01-05",8.337276,8.869442,8.219016,8.514664,2231300,7.257668
"2001-01-08",8.632923,9.342479,8.632923,9.224219,2178600,7.862473
"2001-01-09",9.224219,9.342479,8.514664,8.632923,2036000,7.358468
"2001-01-10",8.632923,8.928572,8.632923,8.810312,1521200,7.509668
"2001-01-11",9.10596,9.10596,8.514664,8.514664,1883700,7.257668
"2001-01-12",8.632923,9.224219,8.632923,9.224219,2721500,7.862473
"2001-01-16",9.460738,9.697256,9.224219,9.460738,2274300,8.064074
"2001-01-17",9.460738,9.460738,8.396405,8.573793,2870000,7.308067
"2001-01-18",8.573793,8.751183,8.041627,8.396405,2806800,7.156866
"2001-01-19",8.278146,8.632923,8.100757,8.573793,1461600,7.308067
"2001-01-22",8.987701,9.16509,8.692053,8.751183,1361300,7.45927
"2001-01-23",8.751183,8.810312,8.219016,8.514664,2174300,7.257668
"2001-01-24",8.514664,8.632923,8.278146,8.573793,1241800,7.308067
"2001-01-25",8.573793,9.04683,8.514664,8.869442,1100600,7.560071
"2001-01-26",8.869442,8.928572,8.573793,8.810312,681700,7.509668
"2001-01-29",8.826868,8.864712,8.448439,8.533586,1291400,7.273795
"2001-01-30",8.401135,8.486282,8.051088,8.344371,1313300,7.112514
"2001-01-31",8.287606,8.46736,8.145696,8.155156,1301200,6.951233
"2001-02-01",8.098392,8.46736,8.060549,8.401135,816200,7.160901
"2001-02-02",8.4579,8.599811,8.420056,8.59035,992600,7.322182
"2001-02-05",8.561968,8.85525,8.524125,8.628193,1369600,7.354437
"2001-02-06",8.609271,9.157994,8.543046,9.157994,1747800,7.806023
"2001-02-07",9.195837,9.460738,9.167455,9.432356,2441700,8.039885
"2001-02-08",9.451277,9.526963,9.006622,9.035005,1837300,7.701191
"2001-02-09",9.224219,9.697256,9.139072,9.697256,3818300,8.265676
"2001-02-12",9.791863,9.820246,9.366131,9.820246,2189800,8.370509
"2001-02-13",9.858088,9.886471,9.460738,9.517503,1336500,8.11246
"2001-02-14",9.555346,9.74456,9.470199,9.517503,1635100,8.11246
"2001-02-15",9.536424,9.536424,9.063387,9.271523,1472600,7.902795
