"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2001-01-02",37.608189,38.172874,36.761158,37.608189,3334500,22.942616
"2001-01-03",37.721127,37.89053,36.422344,36.422344,3399200,22.219194
"2001-01-04",36.337639,37.043499,35.74472,36.055298,2235900,21.995275
"2001-01-05",36.732922,36.98703,36.365875,36.365875,2913500,22.184748
"2001-01-08",36.930561,37.184673,36.351757,37.099968,3494600,22.632578
"2001-01-09",37.099968,37.721127,37.099968,37.382313,2173300,22.804819
"2001-01-10",37.212906,39.076374,37.212906,38.878735,2814300,23.717697
"2001-01-11",38.765797,40.375156,38.568157,39.810471,2140500,24.286104
"2001-01-12",39.725765,39.725765,38.850498,39.245781,913300,23.941607
"2001-01-16",39.245781,39.612827,38.794033,39.44342,777600,24.062187
"2001-01-17",39.556358,39.725765,39.019905,39.30225,1347200,23.976055
"2001-01-18",39.076374,39.076374,38.25758,38.483452,1188000,23.476555
"2001-01-19",38.342281,38.39875,37.438782,37.579952,1396700,22.925388
"2001-01-22",37.495251,39.697533,37.495251,39.386951,1432600,24.027721
"2001-01-23",39.274017,40.629265,39.189312,40.431625,1391200,24.665033
"2001-01-24",40.092812,40.883373,38.850498,38.850498,2085200,23.70047
"2001-01-25",38.737564,40.544563,38.003468,40.064579,2217800,24.441113
"2001-01-26",40.20575,40.883373,40.036343,40.318687,1409100,24.596117
"2001-01-29",40.115398,40.25996,39.550713,40.246407,924100,24.552031
"2001-01-30",40.115398,40.115398,39.189312,39.442291,839600,24.061481
"2001-01-31",39.351944,39.699791,39.148655,39.157688,1402500,23.887875
"2001-02-01",39.044754,39.279663,38.760151,39.117031,1303500,23.863062
"2001-02-02",39.004093,39.754002,39.004093,39.257076,1679200,23.948502
"2001-02-05",38.986027,39.370014,38.805325,39.293217,1435700,23.970552
"2001-02-06",39.180279,39.257076,38.714973,39.094444,588300,23.849287
"2001-02-07",38.940849,39.166725,38.624626,39.162209,696600,23.890631
"2001-02-08",39.166725,39.717861,39.166725,39.383564,858200,24.025665
"2001-02-09",39.121552,39.528126,38.986027,39.053787,426100,23.824478
"2001-02-12",39.053787,39.053787,38.39875,38.850498,861700,23.70047
"2001-02-13",38.850498,40.318687,38.805325,40.047638,911700,24.430775
"2001-02-14",39.821762,39.9347,39.202866,39.437775,916600,24.058739
"2001-02-15",40.20575,40.883373,40.137989,40.485836,1110300,24.698097
"2001-02-16",40.363861,40.806576,40.115398,40.657501,1563400,24.802826
"2001-02-20",40.657501,41.425476,40.440659,41.425476,1490400,25.271315
"2001-02-21",41.335125,43.526112,41.335125,42.803314,2395700,26.11186
"2001-02-22",42.916248,43.688744,42.374149,42.4645,1963200,25.90517
"2001-02-23",42.351563,42.577438,41.213154,42.577438,1460500,25.974075
"2001-02-26",42.577438,43.571289,42.306389,43.571289,1765300,26.580362
"2001-02-27",43.661636,43.661636,42.749104,43.051777,1953200,26.26343
"2001-02-28",42.938839,43.187302,42.170864,42.441914,1588200,25.89139
"2001-03-01",42.261211,42.690376,42.012749,42.550331,2319200,26.204493
"2001-03-02",42.554852,43.819752,42.229591,43.819752,1703300,26.986254
"2001-03-05",43.706814,44.425095,43.584839,43.729401,1995500,26.930626
"2001-03-06",43.864925,43.892029,43.422211,43.774574,991600,26.958445
"2001-03-07",43.774574,44.036591,43.422211,43.512562,1715100,26.797081
"2001-03-08",43.593876,44.090801,43.142124,44.063694,1685600,27.136496
"2001-03-09",43.950756,44.452202,43.824268,44.036591,813000,27.119802
"2001-03-12",43.932686,44.768425,43.503525,43.503525,1705500,26.791521
"2001-03-13",43.819752,43.864925,41.922401,42.080513,1676300,25.915163
"2001-03-14",41.741699,42.057926,40.571667,41.018902,1551000,25.261377
"2001-03-15",41.018902,41.023418,39.528126,40.092812,1414400,24.691038
"2001-03-16",39.979874,40.183163,39.229969,39.306767,1523400,24.206949
"2001-03-19",39.419704,40.725262,39.419704,40.553596,1524900,24.974806
"2001-03-20",40.996311,41.289951,40.002464,40.002464,1547900,24.635395
"2001-03-21",39.776588,40.070225,38.782738,38.782738,1272600,23.884224
"2001-03-22",38.895676,38.981506,37.359726,38.97699,1477500,24.003866
"2001-03-23",39.708824,39.749481,38.489101,38.660767,1302700,23.809124
"2001-03-26",39.392601,40.201233,38.963436,39.076374,1426200,24.065067
"2001-03-27",39.189312,39.573299,39.008614,39.216419,1172100,24.151308
"2001-03-28",39.103481,39.103481,38.511688,38.940849,1151500,23.981611
"2001-03-29",39.053787,39.573299,38.913746,39.30225,3004300,24.20417
"2001-03-30",39.076374,40.20575,38.940849,39.30225,3312000,24.20417
"2001-04-02",39.30225,39.324837,38.931816,38.986027,4843600,24.009428
"2001-04-03",39.071857,39.211899,38.489101,39.044754,2529000,24.045593
"2001-04-04",39.135101,41.289951,39.135101,40.431625,5611200,24.899702
"2001-04-05",41.222187,42.473534,41.131836,42.057926,2499600,25.901255
"2001-04-06",42.057926,42.057926,41.402889,41.538414,1958100,25.581305
"2001-04-09",40.793026,41.289951,40.521976,40.634914,3858900,25.024895
"2001-04-10",40.680088,41.768806,40.56715,41.696526,2126100,25.678682
"2001-04-11",42.012749,42.238625,41.601658,42.229591,2098700,26.006962
"2001-04-12",42.238625,42.73555,42.1031,42.663269,1211500,26.274044
"2001-04-16",42.437393,42.600025,42.134724,42.396736,685300,26.109907
"2001-04-17",42.509674,42.862041,42.351563,42.4645,1476900,26.151636
"2001-04-18",42.862041,43.846855,42.654236,43.083397,1415600,26.532784
"2001-04-19",42.970459,43.051777,42.780724,42.916248,1530000,26.429848
"2001-04-20",42.803314,42.803314,41.682972,42.1031,1209000,25.929075
"2001-04-23",41.606174,41.606174,40.070225,40.151539,1678800,24.727196
"2001-04-24",40.156059,40.770439,39.573299,40.418072,1761100,24.89135
"2001-04-25",40.386452,40.887894,40.056671,40.783989,989000,25.116697
"2001-04-26",40.725262,41.682972,40.725262,41.52486,930300,25.572954
"2001-04-27",41.52486,41.52486,41.009865,41.226704,891400,25.389349
"2001-04-30",41.109249,41.289951,40.711712,40.770439,739500,25.108351
"2001-05-01",41.109249,42.12117,41.109249,42.071476,3654400,25.909595
"2001-05-02",42.035339,42.4645,41.877224,42.39222,1207700,26.107121
"2001-05-03",42.301868,42.301868,41.249294,41.380299,780900,25.483932
"2001-05-04",41.109249,41.696526,40.747849,41.669418,477400,25.661982
"2001-05-07",41.624245,41.854637,41.542931,41.583588,603800,25.609133
"2001-05-08",41.515823,41.768806,40.991795,41.335125,857100,25.456118
"2001-05-09",40.20575,40.210266,39.392601,39.754002,4806600,24.482376
"2001-05-10",39.754002,40.680088,39.681721,40.639431,1772600,25.027679
"2001-05-11",40.594254,40.743332,40.354828,40.702675,861900,25.066618
"2001-05-14",39.866936,40.22382,39.460361,40.047638,1665700,24.663216
"2001-05-15",39.9347,40.115398,39.618477,40.115398,1047400,24.704941
"2001-05-16",39.979874,40.544563,39.708824,40.449696,1491700,24.910831
"2001-05-17",40.341274,41.100216,40.268993,40.878857,1577600,25.175119
"2001-05-18",41.086662,41.086662,40.454212,40.634914,1166300,25.024895
"2001-05-21",40.747849,40.747849,40.169609,40.431625,1649800,24.899702
"2001-05-22",40.657501,41.222187,40.467766,40.747849,1600600,25.094452
"2001-05-23",40.8382,40.8382,40.341274,40.418072,1504100,24.89135
"2001-05-24",40.124435,40.124435,38.583969,39.121552,2731800,24.333715
"2001-05-25",39.121552,39.708824,39.076374,39.311283,1733900,24.451727
"2001-05-29",39.650097,39.889526,39.180279,39.568783,962700,24.611895
"2001-05-30",39.482948,40.092812,39.482948,39.758518,1131100,24.729914
"2001-05-31",39.844349,40.115398,39.279663,40.097328,1279900,24.940653
"2001-06-01",40.097328,40.20575,39.663651,40.052155,1000300,24.912539
"2001-06-04",40.115398,40.788509,40.115398,40.783989,1081100,25.36775
"2001-06-05",40.896927,41.041489,40.571667,40.765919,759400,25.356522
"2001-06-06",40.770439,40.770439,40.386452,40.544563,1966300,25.218834
"2001-06-07",40.499386,40.535526,40.350311,40.454212,969700,25.162634
"2001-06-08",40.454212,40.454212,40.029568,40.065708,737500,24.920982
"2001-06-11",40.296101,40.463249,39.415188,39.731411,1097000,24.713047
"2001-06-12",39.821762,39.957287,39.207382,39.763035,880300,24.732721
