"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2002-12-06",7.8,8.64,7.78,8.58,27551000,5.354079
"2002-12-09",8.54,8.56,8.228,8.404,3149500,5.244252
"2002-12-10",8.41,8.66,8.33,8.55,1723000,5.335357
"2002-12-11",8.54,9.1,8.46,9.012,2549000,5.623654
"2002-12-12",9.012,9.012,8.72,8.782,1355500,5.480131
"2002-12-13",8.782,8.794,8.65,8.73,987500,5.447683
"2002-12-16",8.7,8.75,8.59,8.62,798000,5.379041
"2002-12-17",8.6,8.8,8.56,8.654,1646000,5.400256
"2002-12-18",8.64,8.64,8.51,8.534,742000,5.325374
"2002-12-19",8.51,8.54,8.434,8.46,684000,5.279197
"2002-12-20",8.48,8.92,8.4,8.89,904500,5.547525
"2002-12-23",8.87,8.91,8.67,8.68,638500,5.416481
"2002-12-24",8.72,8.72,8.592,8.61,218000,5.372799
"2002-12-26",8.62,8.63,8.51,8.52,325000,5.316638
"2002-12-27",8.5,8.5,8.35,8.4,830500,5.241755
"2002-12-30",8.46,8.57,8.42,8.464,1076500,5.281693
"2002-12-31",8.454,8.76,8.454,8.732,1778000,5.448931
"2003-01-02",8.732,8.79,8.69,8.744,315000,5.456419
"2003-01-03",8.744,9.16,8.704,9.16,861500,5.716009
"2003-01-06",9.006,9.67,9.006,9.62,1874500,6.003059
"2003-01-07",9.6,9.72,9.45,9.604,1383000,5.993075
"2003-01-08",9.606,9.654,9.534,9.602,411000,5.991826
"2003-01-09",9.62,9.84,9.532,9.81,649000,6.121625
"2003-01-10",9.77,9.87,9.742,9.798,844000,6.114136
"2003-01-13",9.8,9.936,9.774,9.924,810000,6.19276
"2003-01-14",9.924,10,9.814,9.82,554000,6.127863
"2003-01-15",9.68,9.68,9.352,9.41,1459000,5.872016
"2003-01-16",9.4,9.4,9.054,9.076,725000,5.663593
"2003-01-17",9.05,9.104,8.96,9.004,590500,5.618663
"2003-01-21",9.01,9.04,8.852,8.89,468000,5.547525
"2003-01-22",8.86,8.88,8.82,8.83,163500,5.510083
"2003-01-23",8.84,9.15,8.826,9.086,476000,5.669833
"2003-01-24",9.07,9.42,9,9.398,685000,5.864526
"2003-01-27",9.358,9.38,9.24,9.25,209000,5.772172
"2003-01-28",9.26,9.316,9.2,9.202,364500,5.742219
"2003-01-29",9.18,9.4,9.152,9.3,401500,5.803374
"2003-01-30",9.3,9.318,8.76,8.84,735000,5.516324
"2003-01-31",8.8,8.81,8.402,8.5,2886000,5.304155
"2003-02-03",8.49,8.58,8.432,8.47,780000,5.285435
"2003-02-04",8.44,8.44,8.31,8.4,740000,5.241755
"2003-02-05",8.39,8.4,8.27,8.348,1159000,5.209307
"2003-02-06",8.34,8.404,8.29,8.3,1077500,5.179355
"2003-02-07",8.32,8.43,8.31,8.422,744500,5.255484
"2003-02-10",8.422,8.68,8.41,8.6,278500,5.36656
"2003-02-11",8.6,8.706,8.58,8.582,222500,5.35533
"2003-02-12",8.55,8.59,8.496,8.582,355500,5.35533
"2003-02-13",8.57,8.744,8.564,8.7,265500,5.428962
"2003-02-14",8.74,8.96,8.74,8.9,958000,5.553765
"2003-02-18",8.95,8.96,8.83,8.904,753500,5.556263
"2003-02-19",8.906,9,8.88,8.954,420500,5.587462
"2003-02-20",8.96,9.02,8.94,9.006,159000,5.619915
"2003-02-21",9.008,9.132,9,9.072,206000,5.661095
"2003-02-24",9,9.16,9,9.108,182500,5.68356
"2003-02-25",9.1,9.16,9.07,9.144,144500,5.706028
"2003-02-26",9.148,9.2,9.02,9.068,214000,5.658599
"2003-02-27",9.048,9.05,8.66,8.66,945000,5.404002
"2003-02-28",8.65,8.76,8.574,8.61,565000,5.372799
"2003-03-03",8.612,8.712,8.6,8.626,211000,5.382784
"2003-03-04",8.62,8.648,8.564,8.564,151000,5.344096
"2003-03-05",8.566,8.592,8.44,8.45,269500,5.272958
"2003-03-06",8.422,8.53,8.422,8.468,352500,5.301757
"2003-03-07",8.47,8.548,8.442,8.466,175500,5.300505
"2003-03-10",8.456,8.532,8.454,8.472,163000,5.304264
"2003-03-11",8.474,8.54,8.434,8.454,104500,5.292993
"2003-03-12",8.48,8.51,8.38,8.476,312000,5.306766
"2003-03-13",8.5,8.54,8.482,8.504,204000,5.324296
"2003-03-14",8.5,8.68,8.5,8.64,471500,5.409444
"2003-03-17",8.64,9.238,8.64,9.19,607000,5.753796
"2003-03-18",9.194,9.366,9.14,9.21,478500,5.766319
"2003-03-19",9.22,9.39,9.22,9.39,149500,5.879016
"2003-03-20",9.392,9.392,9.11,9.11,571000,5.703711
"2003-03-21",9.14,9.426,9.14,9.42,632500,5.897799
"2003-03-24",9.4,9.642,9.346,9.6,1112000,6.010496
"2003-03-25",9.59,9.71,9.59,9.686,545500,6.064338
"2003-03-26",9.68,9.782,9.68,9.7,1076000,6.073102
"2003-03-27",9.68,9.78,9.56,9.78,777500,6.123192
"2003-03-28",9.76,9.76,9.68,9.73,306500,6.091884
"2003-03-31",9.71,9.71,9.552,9.63,435000,6.02928
"2003-04-01",9.632,9.638,9.516,9.594,232000,6.006737
"2003-04-02",9.474,9.66,9.446,9.632,536000,6.030529
"2003-04-03",9.64,9.84,9.64,9.656,633000,6.045556
"2003-04-04",9.67,9.76,9.652,9.68,321500,6.060581
"2003-04-07",9.74,9.77,9.334,9.34,1109500,5.847711
"2003-04-08",9.32,9.354,9.23,9.292,398000,5.81766
"2003-04-09",9.31,9.38,9.25,9.35,390000,5.85397
"2003-04-10",9.36,9.43,9.31,9.424,224500,5.900302
"2003-04-11",9.44,9.44,9.326,9.354,178500,5.856475
"2003-04-14",9.354,9.52,9.34,9.502,212500,5.949138
"2003-04-15",9.494,9.534,9.486,9.5,198500,5.947886
"2003-04-16",9.51,9.582,9.504,9.522,280000,5.961658
"2003-04-17",9.722,9.934,9.708,9.808,1067500,6.140723
"2003-04-21",9.768,9.778,9.654,9.744,243500,6.100655
"2003-04-22",9.802,10.11,9.636,9.958,1607000,6.234636
"2003-04-23",10.058,10.25,10,10.1,1540000,6.323542
"2003-04-24",10.1,10.32,10.1,10.32,644000,6.461281
"2003-04-25",10.32,10.54,10.32,10.49,905000,6.567718
"2003-04-28",10.53,11.238,10.53,11.08,2717500,6.937113
"2003-04-29",11.082,11.224,10.956,11.13,1455000,6.968418
"2003-04-30",11.12,11.35,11.024,11.308,885500,7.079862
"2003-05-01",11.308,11.36,11.156,11.156,1156500,6.984698
"2003-05-02",11.13,11.498,11.13,11.4,740500,7.137463
"2003-05-05",11.41,11.6,11.332,11.36,693000,7.112421
"2003-05-06",11.36,11.36,11.206,11.3,661000,7.074852
"2003-05-07",11.26,11.32,11.06,11.12,704500,6.962155
"2003-05-08",11.08,11.116,10.99,11.076,707000,6.934605
"2003-05-09",11.1,11.26,11.01,11.144,461000,6.977182
"2003-05-12",11.13,11.45,11.1,11.34,457500,7.099895
"2003-05-13",11.32,11.8,11.32,11.72,1083500,7.337813
"2003-05-14",11.708,11.848,11.668,11.698,763000,7.324039
"2003-05-15",11.69,11.774,11.64,11.724,279500,7.340318
"2003-05-16",11.714,12,11.62,12,498000,7.513115
"2003-05-19",11.88,11.898,11.674,11.71,547500,7.331553
"2003-05-20",11.69,11.86,11.69,11.708,461500,7.330301
"2003-05-21",11.69,11.84,11.612,11.834,355000,7.409184
"2003-05-22",11.884,12.04,11.86,11.94,583000,7.475548
"2003-05-23",11.95,12.046,11.944,12.036,161000,7.535657
"2003-05-27",11.93,11.93,11.84,11.906,409000,7.454268
"2003-05-28",11.906,12.13,11.906,12.09,506500,7.569467
"2003-05-29",12.09,12.124,11.974,12.048,856500,7.543171
"2003-05-30",12.048,12.36,12.04,12.296,820000,7.698441
"2003-06-02",12.31,12.556,12.31,12.41,704500,7.769817
"2003-06-03",12.37,12.51,12.37,12.464,741000,7.803626
"2003-06-04",12.47,12.692,12.464,12.64,547000,7.913816
"2003-06-05",12.64,12.722,12.57,12.602,363000,7.890027
"2003-06-06",12.574,12.574,12.2,12.2,1028000,7.655347
"2003-06-09",12.17,12.438,12.156,12.4,1836500,7.780841
"2003-06-10",12.41,12.55,12.356,12.44,1206000,7.805942
"2003-06-11",12.42,12.512,12.42,12.47,1197500,7.824767
"2003-06-12",12.5,12.9,12.458,12.828,999000,8.049408
"2003-06-13",12.828,12.96,12.828,12.904,723500,8.097097
"2003-06-16",12.94,13.17,12.94,13.124,1098500,8.235145
"2003-06-17",13.154,13.9,13.14,13.88,2332000,8.709529
"2003-06-18",13.86,13.982,13.71,13.92,2033500,8.734626
"2003-06-19",13.92,14,13.526,13.6,4392500,8.533829
"2003-06-20",13.63,13.638,13.21,13.254,2196000,8.31672
"2003-06-23",13.25,13.27,13.056,13.202,1210000,8.284088
"2003-06-24",13.202,13.78,13.202,13.694,1717500,8.592812
"2003-06-25",13.696,13.696,13.4,13.402,988000,8.409585
"2003-06-26",13.41,13.836,13.41,13.83,887500,8.678151
"2003-06-27",13.75,13.92,13.724,13.92,1059500,8.734626
"2003-06-30",13.94,14.008,13.852,13.926,1994000,8.738386
"2003-07-01",14.04,14.96,14,14.914,4302500,9.358346
"2003-07-02",14.914,14.93,14.632,14.93,1524500,9.368384
"2003-07-03",14.8,14.82,14.624,14.77,1028000,9.26799
"2003-07-07",14.84,14.896,14.76,14.85,640000,9.318188
"2003-07-08",14.82,15.17,14.814,14.882,1011000,9.338268
"2003-07-09",14.87,15.364,14.87,15.304,824000,9.603068
"2003-07-10",15.3,15.5,15.16,15.5,1142000,9.726055
"2003-07-11",15.55,15.616,15.016,15.142,801000,9.501413
"2003-07-14",15.19,15.56,15.19,15.47,703000,9.707229
"2003-07-15",15.52,15.64,15.426,15.566,801000,9.767468
"2003-07-16",15.58,15.596,15.23,15.3,616000,9.600558
"2003-07-17",15.28,15.284,14.82,14.89,819500,9.343289
"2003-07-18",14.9,15.082,14.872,14.96,420500,9.38721
"2003-07-21",14.95,14.96,14.722,14.724,631000,9.239128
"2003-07-22",15,15.568,15,15.544,2640000,9.75366
"2003-07-23",15.544,15.796,15.442,15.796,1047500,9.911794
"2003-07-24",15.816,15.86,15.16,15.182,1156500,9.526515
"2003-07-25",15.182,15.716,15.182,15.698,501500,9.850295
"2003-07-28",15.696,15.696,15.54,15.58,622000,9.776254
"2003-07-29",15.606,15.624,15.184,15.27,472500,9.581734
"2003-07-30",15.278,15.296,15.03,15.076,727000,9.460003
"2003-07-31",15.076,15.154,14.73,14.73,1230500,9.242889
"2003-08-01",14.71,14.71,14.154,14.37,3295500,9.016994
"2003-08-04",14.364,14.68,14.2,14.63,956500,9.180139
"2003-08-05",14.65,14.95,14.65,14.936,935000,9.372152
"2003-08-06",14.948,14.996,14.782,14.996,586000,9.409797
"2003-08-07",14.994,15.01,14.862,15.01,646000,9.418587
