"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2001-01-02",0.079427,0.080078,0.079427,0.079427,172800,0.079427
"2001-01-03",0.078451,0.085938,0.078451,0.084635,1454400,0.084635
"2001-01-04",0.084635,0.08724,0.084635,0.084635,513600,0.084635
"2001-01-05",0.084635,0.084635,0.084635,0.084635,14400,0.084635
"2001-01-08",0.084635,0.085938,0.083333,0.083333,192000,0.083333
"2001-01-09",0.083333,0.08724,0.083333,0.083333,120000,0.083333
"2001-01-10",0.082031,0.085938,0.082031,0.085938,374400,0.085938
"2001-01-11",0.085938,0.088542,0.083333,0.083333,321600,0.083333
"2001-01-12",0.088542,0.088542,0.085938,0.088542,624000,0.088542
"2001-01-16",0.08724,0.088542,0.085938,0.08724,801600,0.08724
"2001-01-17",0.087891,0.089844,0.087891,0.088542,561600,0.088542
"2001-01-18",0.088542,0.089844,0.088542,0.089844,43200,0.089844
"2001-01-19",0.086263,0.086263,0.085938,0.085938,124800,0.085938
"2001-01-22",0.085938,0.085938,0.082031,0.085938,120000,0.085938
"2001-01-23",0.084635,0.085938,0.083333,0.083333,1113600,0.083333
"2001-01-24",0.084635,0.088542,0.084635,0.085938,499200,0.085938
"2001-01-25",0.085938,0.08724,0.083333,0.085938,633600,0.085938
"2001-01-26",0.083333,0.085938,0.083333,0.083333,86400,0.083333
"2001-01-29",0.083333,0.084635,0.083333,0.083333,1660800,0.083333
"2001-01-30",0.080729,0.084635,0.080729,0.083333,724800,0.083333
"2001-01-31",0.083333,0.084635,0.083333,0.084635,43200,0.084635
"2001-02-01",0.083984,0.084635,0.082031,0.082031,100800,0.082031
"2001-02-02",0.082031,0.082031,0.078125,0.080729,1732800,0.080729
"2001-02-05",0.083008,0.083008,0.079427,0.080729,417600,0.080729
"2001-02-06",0.080078,0.080729,0.078125,0.079427,91200,0.079427
"2001-02-07",0.078125,0.080729,0.078125,0.078125,177600,0.078125
"2001-02-08",0.078125,0.080729,0.078125,0.079427,182400,0.079427
"2001-02-09",0.078125,0.080729,0.078125,0.079427,307200,0.079427
"2001-02-12",0.080729,0.080729,0.078125,0.080729,225600,0.080729
"2001-02-13",0.078125,0.078125,0.078125,0.078125,576000,0.078125
"2001-02-14",0.078125,0.079753,0.078125,0.078125,1848000,0.078125
"2001-02-15",0.079102,0.080729,0.079102,0.079427,336000,0.079427
"2001-02-16",0.078776,0.081706,0.078776,0.080729,7833600,0.080729
"2001-02-20",0.080729,0.085938,0.080729,0.085938,681600,0.085938
"2001-02-21",0.085938,0.091146,0.083333,0.083333,931200,0.083333
"2001-02-22",0.083333,0.084635,0.082031,0.082031,662400,0.082031
"2001-02-23",0.080729,0.082031,0.080729,0.082031,72000,0.082031
"2001-02-26",0.080729,0.083008,0.078125,0.078125,1579200,0.078125
"2001-02-27",0.077474,0.078776,0.076823,0.078125,19862400,0.078125
"2001-02-28",0.078125,0.080729,0.072917,0.074219,12494400,0.074219
"2001-03-01",0.074219,0.078125,0.074219,0.078125,456000,0.078125
"2001-03-02",0.074219,0.078125,0.074219,0.075521,244800,0.075521
"2001-03-05",0.076823,0.079427,0.075521,0.076823,700800,0.076823
"2001-03-06",0.079427,0.079427,0.075521,0.075521,748800,0.075521
"2001-03-07",0.075521,0.076823,0.074219,0.076823,3340800,0.076823
"2001-03-08",0.075521,0.075521,0.075521,0.075521,57600,0.075521
"2001-03-09",0.075521,0.076823,0.075521,0.075521,216000,0.075521
"2001-03-12",0.075195,0.075521,0.075195,0.075521,206400,0.075521
"2001-03-13",0.075521,0.078125,0.075521,0.075521,441600,0.075521
"2001-03-14",0.075521,0.076823,0.075521,0.075521,211200,0.075521
"2001-03-15",0.07487,0.076823,0.07487,0.075521,1195200,0.075521
"2001-03-16",0.075521,0.076823,0.075521,0.075521,1416000,0.075521
"2001-03-19",0.075521,0.078125,0.075521,0.075521,4257600,0.075521
"2001-03-20",0.075521,0.079427,0.072917,0.072917,1449600,0.072917
"2001-03-21",0.076172,0.079102,0.070313,0.070313,1464000,0.070313
"2001-03-22",0.072917,0.075195,0.06901,0.070313,940800,0.070313
"2001-03-23",0.071615,0.075521,0.071615,0.072917,441600,0.072917
"2001-03-26",0.072917,0.072917,0.0625,0.067708,806400,0.067708
"2001-03-27",0.068685,0.068685,0.065104,0.067708,273600,0.067708
"2001-03-28",0.067708,0.06901,0.067708,0.067708,1176000,0.067708
"2001-03-29",0.067708,0.074219,0.067708,0.071615,393600,0.071615
"2001-03-30",0.071615,0.071615,0.070313,0.070313,211200,0.070313
"2001-04-02",0.069661,0.069661,0.069661,0.069661,81600,0.069661
"2001-04-03",0.06901,0.069661,0.068359,0.068359,91200,0.068359
"2001-04-04",0.068359,0.071615,0.067708,0.067708,609600,0.067708
"2001-04-05",0.067708,0.067708,0.067708,0.067708,0,0.067708
"2001-04-06",0.067708,0.06901,0.067708,0.06901,100800,0.06901
"2001-04-09",0.067708,0.072917,0.067708,0.072292,105600,0.072292
"2001-04-10",0.072917,0.078958,0.072917,0.076667,163200,0.076667
"2001-04-11",0.07875,0.079167,0.071875,0.071875,739200,0.071875
