"","AMG.Open","AMG.High","AMG.Low","AMG.Close","AMG.Volume","AMG.Adjusted"
"2001-01-02",36.583332,36.583332,33.25,33.458332,219600,32.691971
"2001-01-03",33.583332,39.041668,33.583332,38.666668,429900,37.781017
"2001-01-04",38.5,40.916668,37.833332,38.666668,325200,37.781017
"2001-01-05",38.416668,38.541668,36.958332,37.583332,372600,36.722496
"2001-01-08",37.583332,37.666668,36.5,37.166668,221700,36.315376
"2001-01-09",37.208332,37.541668,35.666668,36.166668,200100,35.338276
"2001-01-10",36.333332,37.25,35.5,35.833332,258900,35.012573
"2001-01-11",36.083332,38.666668,36.083332,37.375,186600,36.518925
"2001-01-12",37.5,37.75,36.458332,37.291668,94500,36.437515
"2001-01-16",37.291668,37.5,36.416668,37.25,280000,36.39679
"2001-01-17",37.583332,39.416668,37.583332,38.625,213900,37.740299
"2001-01-18",38.666668,40,38,38.916668,209500,38.025284
"2001-01-19",38.958332,39,38.125,38.125,112900,37.251747
"2001-01-22",38.25,39.666668,38.208332,39.166668,165400,38.269558
"2001-01-23",39,40.833332,38.916668,40.833332,163200,39.898041
"2001-01-24",40.75,42.25,40.583332,41.333332,271600,40.386597
"2001-01-25",41.208332,41.208332,37.666668,39.25,486700,38.350983
"2001-01-26",39.166668,39.208332,38.125,38.416668,257200,37.536732
"2001-01-29",38.413334,39.833332,38.413334,39.333332,218100,38.432404
"2001-01-30",39.833332,41.5,39.419998,41.200001,200200,40.256317
"2001-01-31",41.033333,41.900002,40.200001,41,343500,40.060898
"2001-02-01",40.866665,40.866665,39.926666,40.200001,222700,39.279224
"2001-02-02",40.366665,40.466667,37.466667,37.599998,180600,36.738773
"2001-02-05",37.799999,38.66,37.006668,37.16,260700,36.308857
"2001-02-06",37.599998,37.599998,36.5,36.966667,102300,36.119949
"2001-02-07",36.799999,37.666668,36.799999,37.433334,143100,36.575932
"2001-02-08",37.366665,37.366665,35.933334,35.973331,166600,35.149368
"2001-02-09",35.700001,35.833332,35.060001,35.433334,251100,34.621742
"2001-02-12",35.433334,36.026669,35.333332,36.026669,129700,35.201481
"2001-02-13",36.226665,38.666668,36.200001,36.200001,308800,35.370846
"2001-02-14",36.200001,36.233334,35.259998,35.766666,145600,34.947426
"2001-02-15",35.766666,35.773335,35.133335,35.133335,254700,34.328609
"2001-02-16",34.666668,34.933334,33.200001,34.373333,342900,33.586018
"2001-02-20",34.400002,34.799999,33.966667,34,275500,33.221237
"2001-02-21",34,34.413334,33.693333,34.299999,377800,33.514355
"2001-02-22",34.306667,34.633335,33.666668,34.266666,293500,33.481792
"2001-02-23",34.266666,35.193333,33.799999,35.186668,350700,34.380722
"2001-02-26",35.193333,36.833332,35.193333,36.833332,715200,35.98967
"2001-02-27",37.166668,37.259998,35.906666,35.933334,164800,35.110291
"2001-02-28",35.966667,36.133335,34.126667,34.333332,257800,33.546932
"2001-03-01",34.333332,34.900002,32.740002,34.419998,404500,33.631607
"2001-03-02",34.419998,35.573334,34.093334,35.333332,202800,34.524021
"2001-03-05",35.233334,35.299999,33.799999,34.533333,148800,33.742352
"2001-03-06",34.666668,36.266666,34.666668,36.099998,221500,35.273136
"2001-03-07",36.099998,36.966667,35.426666,36.386665,175800,35.55323
"2001-03-08",36.386665,37,35.200001,35.266666,211900,34.458889
"2001-03-09",35.266666,35.466667,34,34.826668,195900,34.028961
"2001-03-12",34.826668,34.826668,33.533333,33.533333,211500,32.765251
"2001-03-13",33.400002,33.686668,32.5,32.773335,344500,32.022663
"2001-03-14",32.333332,32.966667,32.066666,32.473331,183300,31.729532
"2001-03-15",33.733334,33.860001,33.139999,33.139999,261000,32.380936
"2001-03-16",33.166668,33.233334,32,32.279999,124600,31.54063
"2001-03-19",32.286667,32.833332,31.18,32.833332,323400,32.081284
"2001-03-20",32.833332,33.266666,31.059999,31.566668,330600,30.843634
"2001-03-21",32,32.133335,29.066668,29.639999,444300,28.961096
"2001-03-22",29.639999,29.639999,27.466667,29.333334,589600,28.661457
"2001-03-23",29.666666,30.733334,29.333334,30.533333,368200,29.833971
"2001-03-26",30.866667,31.799999,30.866667,31.333334,169300,30.61565
"2001-03-27",31.666666,32.933334,31.106667,32.299999,320500,31.560173
