"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2001-01-02",47.375,47.4375,45.125,46.0625,745800,11.377166
"2001-01-03",45.875,47,45.4375,46.9375,809700,11.593287
"2001-01-04",46.875,47.9375,46.875,47.1875,1191200,11.655036
"2001-01-05",47.25,47.9375,46.875,46.9375,1740400,11.593287
"2001-01-08",47,47,46.0625,46.125,489000,11.392606
"2001-01-09",46.1875,46.625,45.0625,46.5625,880400,11.500662
"2001-01-10",46.8125,46.875,45.1875,46.4375,321500,11.469794
"2001-01-11",46.4375,46.4375,45.625,46,614200,11.361732
"2001-01-12",45.8125,45.875,44.25,44.3125,654400,10.944927
"2001-01-16",45.75,47.3125,44.5625,46.9375,1871700,11.593287
"2001-01-17",46.875,46.9375,45,45.8125,832300,11.315418
"2001-01-18",45.9375,46,45.125,45.8125,500900,11.315418
"2001-01-19",45.125,46.125,44.6875,46,960800,11.361732
"2001-01-22",45.75,46.6875,45.0625,45.5625,483900,11.253674
"2001-01-23",45.8125,46,45.5,45.6875,616400,11.284546
"2001-01-24",45.6875,45.75,44.875,45.375,556500,11.207356
"2001-01-25",45.4375,47.75,45.4375,47.3125,984600,11.68591
"2001-01-26",47.625,47.625,45.8125,46.8125,1421600,11.562414
"2001-01-29",46.810001,46.82,46,46,362100,11.361732
"2001-01-30",46.25,47.240002,45.25,46.990002,719600,11.60625
"2001-01-31",46.990002,47.32,46.799999,47.18,483200,11.653181
"2001-02-01",47.25,48,46.610001,48,798500,11.855721
"2001-02-02",47.75,48,46.75,47.029999,492600,11.616133
"2001-02-05",47.279999,47.400002,45.759998,47.299999,439900,11.682822
"2001-02-06",47.549999,47.990002,47,47.540001,666100,11.742096
"2001-02-07",47.5,47.5,46.25,46.889999,329200,11.581552
"2001-02-08",46.560001,47.439999,46.419998,47,349500,11.672199
"2001-02-09",46.880001,46.990002,44.93,45.240002,351500,11.235113
"2001-02-12",45.049999,46.650002,45.049999,46.470001,564600,11.54058
"2001-02-13",46.490002,47.25,46.360001,47.119999,466400,11.702
"2001-02-14",47,47.450001,46.43,46.720001,507600,11.602666
"2001-02-15",46.599998,48.110001,46.509998,47.48,625500,11.791407
"2001-02-16",47.48,47.540001,45.400002,45.689999,643100,11.346869
"2001-02-20",45.939999,46.400002,45.16,45.439999,522800,11.284783
"2001-02-21",45.799999,47.349998,45.5,45.959999,547900,11.413924
"2001-02-22",45.709999,45.720001,44.5,45.400002,513000,11.274849
"2001-02-23",45.490002,45.689999,44.700001,45.57,600600,11.317068
"2001-02-26",45.650002,46.669998,45.52,46.060001,322800,11.438753
"2001-02-27",46.560001,46.599998,45.5,45.759998,323000,11.36425
"2001-02-28",45.82,46,45.119999,45.959999,651900,11.413924
"2001-03-01",45.709999,45.990002,45.259998,45.970001,732000,11.416408
"2001-03-02",45.869999,47.200001,45.5,46.919998,656300,11.652332
"2001-03-05",46.450001,48.48,46.419998,48.299999,693600,11.995051
"2001-03-06",48.349998,48.540001,47.150002,48.259998,830600,11.985112
"2001-03-07",48.009998,49.450001,47.650002,47.799999,711800,11.870878
"2001-03-08",47.799999,49.02,47.799999,48.619999,419900,12.074522
"2001-03-09",48.82,48.82,47.369999,47.619999,327000,11.826177
"2001-03-12",47.619999,47.98,46.349998,46.5,483500,11.548025
"2001-03-13",46.650002,47.189999,46.009998,47.02,454300,11.677166
"2001-03-14",46.77,46.779999,46,46.09,376900,11.446205
"2001-03-15",46,46,45.439999,45.490002,504000,11.297197
"2001-03-16",44,45.200001,41.5,42.200001,1352500,10.480146
"2001-03-19",43,43.98,42.5,43.799999,595700,10.877495
"2001-03-20",43.990002,43.990002,41.91,42.009998,520500,10.432959
"2001-03-21",41.759998,41.849998,40.25,40.490002,645600,10.055472
"2001-03-22",40.599998,40.66,38.380001,39,1033300,9.685437
"2001-03-23",39.5,39.549999,38.599998,38.830002,977600,9.643227
"2001-03-26",39.080002,40.25,39.080002,39.73,541200,9.866732
"2001-03-27",39.48,39.48,36,36.849998,2529700,9.151503
"2001-03-28",36.849998,37.049999,35.459999,35.990002,1124000,8.937923
"2001-03-29",35.700001,36.709999,35.650002,36.189999,900700,8.987597
"2001-03-30",36.439999,36.52,35.299999,36.349998,604600,9.027328
"2001-04-02",36.25,38.009998,36.25,37.84,1081500,9.397367
"2001-04-03",38.200001,38.209999,36,36.549999,974600,9.076996
"2001-04-04",37.75,38.290001,36.900002,37.849998,917700,9.399845
"2001-04-05",37.849998,41,37.849998,40.240002,1039200,9.993391
"2001-04-06",40,40.110001,38.68,39.25,597000,9.747525
"2001-04-09",39.5,40.790001,39.439999,40.77,626800,10.125014
"2001-04-10",40.77,42.200001,40.77,41.650002,512100,10.343553
"2001-04-11",42.900002,42.900002,40.450001,41.360001,469900,10.271539
"2001-04-12",40.75,42.049999,40.75,42.049999,542400,10.442896
"2001-04-16",41.990002,42,41.09,42,327900,10.430477
"2001-04-17",42,43,41.509998,43,358100,10.678819
"2001-04-18",43,45.5,42.950001,44.900002,926900,11.15068
"2001-04-19",44.849998,45.200001,44.23,44.700001,543600,11.10101
"2001-04-20",44.700001,44.900002,43.799999,44,458500,10.927167
"2001-04-23",44,44,42.599998,43.009998,483900,10.681301
"2001-04-24",43.5,44.32,43.5,43.990002,451100,10.924681
"2001-04-25",43.98,44.799999,43.75,44.25,509400,10.989256
"2001-04-26",44.799999,46.75,44.75,45.369999,876100,11.267398
"2001-04-27",45.619999,45.990002,45.5,45.849998,367600,11.386602
"2001-04-30",45.950001,46.200001,45.029999,45.029999,576100,11.182962
"2001-05-01",44.799999,44.98,42.900002,43.709999,850300,10.855146
"2001-05-02",43.720001,44.25,43,43.209999,695400,10.730975
"2001-05-03",43.150002,43.25,42.560001,42.799999,367700,10.629153
"2001-05-04",42.049999,43.450001,42.049999,43.060001,565200,10.69372
"2001-05-07",43.310001,44.09,43.080002,43.619999,309500,10.832797
"2001-05-08",43.599998,44.09,43.509998,43.73,512300,10.86011
"2001-05-09",43.75,43.75,43.509998,43.59,525400,10.825345
"2001-05-10",43.599998,43.860001,43.48,43.59,673600,10.889048
"2001-05-11",43.689999,44.110001,43.330002,43.75,337200,10.929018
"2001-05-14",43.599998,43.650002,43.200001,43.400002,453000,10.841581
"2001-05-15",43.41,43.650002,43.209999,43.509998,209500,10.869057
"2001-05-16",43.450001,45.150002,43.080002,45.049999,482300,11.253763
"2001-05-17",46,46.200001,45,45.470001,432900,11.35868
"2001-05-18",45.700001,45.869999,44.75,45.25,310000,11.303723
"2001-05-21",45.25,46.990002,45.25,46.950001,445400,11.728396
"2001-05-22",46.700001,46.950001,46.259998,46.869999,395800,11.708409
"2001-05-23",46.619999,46.970001,46.189999,46.759998,550000,11.680932
"2001-05-24",46.700001,46.849998,46.41,46.68,507800,11.660946
"2001-05-25",46.5,46.68,46.02,46.099998,270100,11.516057
"2001-05-29",45.849998,46.599998,45.849998,46.490002,404100,11.613485
"2001-05-30",46.5,46.98,46,46.009998,518900,11.493574
"2001-05-31",46.009998,47,46,47,701300,11.740883
"2001-06-01",47,47,46.139999,46.139999,871500,11.526052
