"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2012-04-12",33.25,34.209999,32,34,654700,27.733498
"2012-04-13",34,37.450001,33.91,37,1685000,30.180573
"2012-04-16",37,37,35.990002,36.549999,550200,29.813503
"2012-04-17",36.400002,36.75,36,36,179600,29.364882
"2012-04-18",36,36.439999,34.5,36,207100,29.364882
"2012-04-19",36,37.220001,35.799999,36,598100,29.364882
"2012-04-20",36.099998,37,36.099998,36.32,149700,29.625895
"2012-04-23",36.240002,36.240002,35.419998,35.68,95700,29.103853
"2012-04-24",36,36,34.68,34.75,124500,28.345259
"2012-04-25",34.799999,35.5,34.5,34.75,266200,28.345259
"2012-04-26",34.610001,34.990002,34.439999,34.950001,183900,28.5084
"2012-04-27",35.25,35.25,33.970001,34.110001,536000,27.823225
"2012-04-30",34.34,34.900002,34,34.049999,4105700,27.774281
"2012-05-01",33.740002,34.099998,32.580002,32.759998,6878600,26.722036
"2012-05-02",32.599998,32.669998,31.629999,32,11287600,26.102114
"2012-05-03",31.93,31.98,31.049999,31.389999,11800000,25.604538
"2012-05-04",30.85,31.09,30.120001,30.16,10881000,24.60124
"2012-05-07",30.1,30.549999,29.25,29.35,12257200,23.940533
"2012-05-08",29.09,30.41,28.75,30.1,14601300,24.552305
"2012-05-09",29.809999,32.889999,29.73,32.490002,13990000,26.501808
"2012-05-10",33.049999,33.349998,31.52,32.48,8862000,26.493645
"2012-05-11",31.73,32.150002,31.4,31.83,4460100,25.963446
"2012-05-14",31.190001,31.58,30.77,31.32,6398200,25.547445
"2012-05-15",31.35,32.32,31.059999,31.67,6362800,25.832933
"2012-05-16",31.459999,32.389999,31.25,32.099998,6118600,26.18368
"2012-05-17",31.889999,32,31.200001,31.26,5850500,25.498503
"2012-05-18",31.43,31.690001,30.99,31.379999,7940800,25.596384
"2012-05-21",31.23,32.34,30.950001,32.189999,5480100,26.257093
"2012-05-22",31.879999,32.27,31.33,31.629999,5415000,25.800308
"2012-05-23",31.35,31.49,30.879999,31.41,5268900,25.620855
"2012-05-24",31.42,31.440001,30.75,31.129999,4210400,25.392464
"2012-05-25",31.01,31.41,30.83,31.299999,3217900,25.531132
"2012-05-29",31.280001,31.719999,30.860001,31.01,3979600,25.294579
"2012-05-30",30.790001,30.83,30.18,30.440001,6000600,24.82963
"2012-05-31",30.26,30.35,29.719999,30.030001,8098000,24.495203
"2012-06-01",29.5,30.17,29.379999,29.92,5701700,24.405476
"2012-06-04",29.299999,30.190001,29.25,29.530001,4844900,24.087358
"2012-06-05",29.370001,30.1,29.32,29.9,4046500,24.38916
"2012-06-06",30.030001,32,29.82,31.530001,8609400,25.718744
"2012-06-07",32.07,32.75,31.74,31.83,7694300,25.963446
"2012-06-08",31.66,32.349998,31.51,32.119999,4302100,26.199995
"2012-06-11",32.450001,33.049999,32.23,32.599998,5999000,26.591526
"2012-06-12",32.560001,33.740002,32.490002,33.490002,6809900,27.317497
"2012-06-13",33.27,33.490002,32.540001,32.77,2876200,26.730202
"2012-06-14",32.77,33.639999,32.310001,33.529999,4460000,27.350117
"2012-06-15",33.599998,34.91,33.380001,34.900002,9892400,28.467625
