"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2001-01-02",11.496737,12.065586,11.466798,11.586555,2514100,5.725925
"2001-01-03",11.496737,11.646434,11.107525,11.317101,2321500,5.592764
"2001-01-04",11.227283,11.37698,11.062615,11.257221,2739400,5.563172
"2001-01-05",11.257221,11.766191,11.257221,11.526676,3081600,5.696336
"2001-01-08",11.436858,11.646434,11.137464,11.466798,1790600,5.666743
"2001-01-09",11.34704,11.37698,10.987767,11.137464,1734400,5.50399
"2001-01-10",11.137464,11.317101,11.137464,11.227283,1806900,5.548377
"2001-01-11",11.197343,11.37698,11.197343,11.197343,1694300,5.533585
"2001-01-12",11.137464,11.167403,10.957828,11.047646,1682900,5.459606
"2001-01-16",11.077585,11.107525,10.80813,10.987767,2142600,5.430013
"2001-01-17",11.047646,11.107525,10.688373,10.80813,2301500,5.34124
"2001-01-18",10.83807,10.897948,10.628494,10.658433,1793300,5.267262
"2001-01-19",10.568615,10.748252,10.478797,10.688373,2144900,5.282056
"2001-01-22",10.688373,10.957828,10.628494,10.86801,1848000,5.370831
"2001-01-23",10.987767,11.047646,10.778191,11.017706,2282000,5.444809
"2001-01-24",10.718312,10.957828,10.658433,10.897948,2108700,5.385624
"2001-01-25",10.778191,10.957828,10.778191,10.80813,3593900,5.34124
"2001-01-26",10.80813,10.86801,10.508737,10.718312,2851100,5.296852
"2001-01-29",10.720707,10.816513,10.61053,10.706336,2184300,5.290933
"2001-01-30",10.706336,10.749449,10.519514,10.706336,2382200,5.290933
"2001-01-31",10.897948,10.960222,10.759029,10.878787,2334400,5.376157
"2001-02-01",10.826094,10.826094,10.533885,10.586578,4559500,5.23175
"2001-02-02",10.682384,10.893158,10.658433,10.830884,1920800,5.352482
"2001-02-05",10.897948,11.252431,10.897948,11.218899,2358000,5.544238
"2001-02-06",11.257221,11.319496,11.127883,11.314706,2057300,5.591582
"2001-02-07",11.319496,11.467996,11.257221,11.420093,1654500,5.643661
"2001-02-08",11.491947,11.635656,11.410512,11.53985,1981400,5.702843
"2001-02-09",11.348238,11.784156,11.348238,11.69314,2194400,5.7786
"2001-02-12",11.578173,11.712301,11.491947,11.664398,2170100,5.764394
"2001-02-13",11.549431,11.659608,11.434464,11.592544,1830300,5.728885
"2001-02-14",11.511108,11.736253,11.477576,11.582963,1511100,5.724152
"2001-02-15",11.582963,11.621285,11.448834,11.554221,2141700,5.709946
"2001-02-16",11.832059,11.832059,11.472786,11.501528,2346300,5.683906
"2001-02-20",11.621285,11.741043,11.453625,11.554221,2532800,5.709946
"2001-02-21",11.592544,11.664398,11.367399,11.38177,2302700,5.624725
"2001-02-22",11.496737,11.606915,11.329077,11.338657,2143200,5.603419
"2001-02-23",11.496737,11.544641,11.199738,11.391351,1745900,5.629456
"2001-02-26",11.496737,11.760204,11.424883,11.611705,2914500,5.738355
"2001-02-27",11.712301,11.779366,11.496737,11.53506,1559700,5.700476
"2001-02-28",11.506318,11.578173,11.38656,11.491947,1838800,5.679172
"2001-03-01",11.448834,11.640447,11.38656,11.434464,1815800,5.650764
"2001-03-02",11.496737,11.879962,11.496737,11.808107,2471800,5.835414
"2001-03-05",11.927865,12.042832,11.85601,12.042832,2440500,5.951412
"2001-03-06",11.980558,12.095526,11.899123,11.994929,1725700,5.92774
"2001-03-07",11.980558,12.16738,11.980558,12.16738,2207100,6.14095
"2001-03-08",12.330251,12.694314,12.119477,12.641621,5029200,6.380305
"2001-03-09",12.694314,12.694314,12.085945,12.435637,2312700,6.276341
"2001-03-12",12.406896,12.406896,12.071574,12.090735,1966200,6.102268
"2001-03-13",12.090735,12.191332,11.69314,11.961397,2476600,6.036991
"2001-03-14",12.071574,12.071574,11.573382,11.664398,1986600,5.887093
"2001-03-15",11.784156,11.784156,11.353028,11.439254,2589600,5.773463
"2001-03-16",11.329077,11.616495,11.329077,11.467996,2864400,5.78797
"2001-03-19",11.467996,11.947026,11.429673,11.899123,2702200,6.00556
"2001-03-20",11.803317,12.018881,11.750624,11.764995,2347300,5.937868
"2001-03-21",11.544641,11.712301,11.463205,11.53985,2512000,5.824233
"2001-03-22",11.448834,11.448834,10.878787,11.147044,3329500,5.625983
"2001-03-23",11.089561,11.362609,10.945851,11.362609,1989100,5.73478
"2001-03-26",11.482367,11.69314,11.482367,11.568592,2719600,5.838741
"2001-03-27",11.568592,11.736253,11.410512,11.53506,2644600,5.821816
"2001-03-28",11.616495,11.731462,11.501528,11.635656,2950700,5.872589
"2001-03-29",11.544641,11.573382,11.405722,11.477576,2063700,5.792805
"2001-03-30",11.482367,11.908704,11.482367,11.85601,2662400,5.983802
"2001-04-02",11.884752,11.918284,11.616495,11.779366,2789700,5.945118
"2001-04-03",11.755414,11.827269,11.520689,11.683559,2454200,5.896764
"2001-04-04",11.741043,12.191332,11.683559,12.0093,2431700,6.061169
"2001-04-05",12.143429,12.205703,11.942236,12.143429,3136900,6.128865
"2001-04-06",12.191332,12.215283,11.68835,12.181751,2788700,6.148206
"2001-04-09",12.239235,12.574556,12.234445,12.483541,2922200,6.30052
"2001-04-10",12.574556,12.737427,12.536234,12.63683,4114000,6.377887
"2001-04-11",12.598508,12.670362,12.406896,12.555395,2815800,6.336786
"2001-04-12",12.574556,12.742217,12.426057,12.507492,3925100,6.312611
"2001-04-16",12.507492,12.814072,12.507492,12.809281,3337700,6.464924
"2001-04-17",12.694314,13.230828,12.651201,13.221248,3582500,6.672846
"2001-04-18",13.269151,13.293102,12.723056,12.981732,4147200,6.551963
"2001-04-19",12.981732,13.077538,12.842813,12.967361,3606200,6.544706
"2001-04-20",12.967361,13.216457,12.952991,13.135022,2578000,6.629326
"2001-04-23",13.388908,13.815246,13.288312,13.762552,6333500,6.946044
"2001-04-24",13.820036,14.011648,13.796084,13.939794,5134900,7.035504
"2001-04-25",14.011648,14.323018,13.939794,14.251163,5927700,7.19265
"2001-04-26",14.251163,14.485888,14.251163,14.279905,5331900,7.207157
"2001-04-27",14.284696,14.313437,14.18889,14.275115,2985700,7.20474
"2001-04-30",14.370921,14.581695,14.303857,14.428405,4329900,7.282107
"2001-05-01",14.428405,14.433195,13.987697,14.131406,4484200,7.132209
"2001-05-02",13.915842,13.915842,13.41286,13.446392,5160900,6.786477
"2001-05-03",13.41286,13.73381,13.077538,13.657166,3842500,6.89286
"2001-05-04",13.767343,13.935003,13.738601,13.87752,2777600,7.004069
"2001-05-07",13.848778,13.997277,13.652375,13.834407,2479300,6.982311
"2001-05-08",13.772133,14.006858,13.700278,13.891891,2346100,7.011323
"2001-05-09",13.915842,14.131406,13.901471,14.102664,2268800,7.117704
"2001-05-10",14.006858,14.323018,13.963745,14.102664,2153200,7.117704
"2001-05-11",14.059551,14.131406,13.915842,14.131406,1682900,7.132209
"2001-05-14",14.011648,14.366131,13.987697,14.366131,2922000,7.250675
"2001-05-15",14.366131,14.586485,14.313437,14.50505,3648600,7.320789
"2001-05-16",14.457147,14.835581,14.380502,14.615227,4178000,7.376396
"2001-05-17",14.529001,14.682291,14.437985,14.634388,3438900,7.386068
"2001-05-18",14.634388,14.897855,14.572114,14.888274,3146900,7.514204
"2001-05-21",14.888274,14.897855,14.682291,14.778097,2467300,7.458597
"2001-05-22",14.778097,14.778097,14.490679,14.581695,2027500,7.359472
