"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2001-01-02",22.275433,22.797514,22.101406,22.565477,280200,9.707273
"2001-01-03",22.681496,23.203577,22.565477,23.087559,1446400,9.931859
"2001-01-04",23.203577,23.261585,23.029551,23.145567,291300,9.956816
"2001-01-05",23.203577,23.55163,23.087559,23.319595,1108600,10.03168
"2001-01-08",23.319595,23.667648,23.203577,23.203577,286400,9.981774
"2001-01-09",23.029551,23.435612,22.97154,23.377604,851300,10.056635
"2001-01-10",23.319595,23.55163,23.261585,23.493622,619600,10.106544
"2001-01-11",23.435612,23.667648,23.377604,23.609638,271000,10.15645
"2001-01-12",23.609638,23.667648,23.377604,23.55163,275500,10.131501
"2001-01-16",23.609638,23.725657,23.493622,23.725657,522500,10.20636
"2001-01-17",23.725657,23.725657,23.55163,23.725657,248900,10.20636
"2001-01-18",23.667648,23.725657,23.667648,23.725657,144200,10.20636
"2001-01-19",23.609638,23.725657,23.609638,23.725657,108500,10.20636
"2001-01-22",23.725657,24.015701,23.725657,24.015701,336000,10.331132
"2001-01-23",23.899683,24.015701,23.783667,23.957693,163500,10.306178
"2001-01-24",24.073711,24.305746,24.015701,24.247738,370000,10.430947
"2001-01-25",24.073711,24.479773,24.015701,24.479773,290900,10.530769
"2001-01-26",24.305746,24.363756,24.189728,24.305746,671600,10.455903
"2001-01-29",24.308067,24.410162,24.26166,24.354473,384000,10.476867
"2001-01-30",24.26166,24.410162,24.26166,24.382318,414500,10.488845
"2001-01-31",24.502977,24.549383,24.317348,24.438007,127000,10.512802
"2001-02-01",24.205971,24.502977,24.159563,24.298786,86600,10.452911
"2001-02-02",24.298786,24.540102,24.298786,24.52154,169600,10.548734
"2001-02-05",24.577229,24.577229,24.308067,24.308067,215400,10.456899
"2001-02-06",24.317348,24.400881,24.038906,24.13172,914000,10.381039
"2001-02-07",23.899683,23.946091,23.714056,23.760462,599000,10.221335
"2001-02-08",23.946091,23.946091,23.714056,23.714056,169600,10.20137
"2001-02-09",23.723337,23.834713,23.342798,23.537708,962000,10.125511
"2001-02-12",23.482019,23.93681,23.435612,23.714056,211500,10.20137
"2001-02-13",23.899683,24.085312,23.676929,24.020342,317000,10.333129
"2001-02-14",23.676929,23.80687,23.528427,23.704773,284200,10.416368
"2001-02-15",23.676929,23.853277,23.528427,23.676929,227000,10.404138
"2001-02-16",23.333517,23.482019,23.203577,23.296391,280500,10.236917
"2001-02-20",23.296391,23.667648,23.203577,23.509863,171600,10.330728
"2001-02-21",23.463457,23.509863,23.249983,23.407768,136400,10.28586
"2001-02-22",23.426331,23.426331,23.045792,23.138607,265400,10.167583
"2001-02-23",23.138607,23.407768,23.138607,23.240702,311600,10.212446
"2001-02-26",23.296391,23.296391,23.017948,23.277828,155800,10.228757
"2001-02-27",23.203577,23.342798,23.092199,23.296391,169100,10.236917
"2001-02-28",23.342798,23.769743,23.296391,23.769743,261300,10.444919
"2001-03-01",23.714056,23.890402,23.482019,23.881121,263100,10.493856
"2001-03-02",23.853277,23.946091,23.760462,23.946091,207900,10.522412
"2001-03-05",23.992498,24.038906,23.853277,23.918247,137300,10.510171
"2001-03-06",23.639803,23.899683,23.574833,23.899683,201400,10.502015
"2001-03-07",23.760462,23.899683,23.519146,23.658367,337300,10.395975
"2001-03-08",23.667648,23.797588,23.621241,23.714056,327200,10.420448
"2001-03-09",23.741899,23.992498,23.676929,23.80687,412500,10.461236
"2001-03-12",24.038906,24.122438,23.667648,23.80687,362200,10.461236
"2001-03-13",23.80687,23.80687,23.537708,23.630522,324100,10.383739
"2001-03-14",23.398487,23.556271,23.370642,23.482019,808800,10.318487
"2001-03-15",23.528427,23.528427,23.203577,23.435612,493500,10.298092
"2001-03-16",23.528427,23.528427,23.203577,23.314953,349800,10.245074
"2001-03-19",22.043398,23.203577,22.043398,23.203577,452400,10.196137
"2001-03-20",23.203577,23.658367,23.110762,23.417049,532400,10.28994
"2001-03-21",23.992498,23.992498,23.491301,23.574833,236300,10.359268
"2001-03-22",23.574833,23.574833,22.832319,23.389206,373100,10.277704
"2001-03-23",23.249983,23.955372,23.157169,23.389206,380900,10.277704
"2001-03-26",23.296391,24.13172,23.277828,23.992498,632100,10.5428
"2001-03-27",23.992498,23.992498,23.398487,23.454176,368400,10.306252
"2001-03-28",23.361361,23.621241,23.175732,23.249983,814000,10.216524
"2001-03-29",23.296391,23.667648,23.231421,23.602678,225800,10.371509
"2001-03-30",23.611959,24.038906,23.435612,23.760462,675400,10.440844
"2001-04-02",23.760462,23.760462,23.324236,23.676929,259900,10.404138
"2001-04-03",23.714056,23.760462,23.574833,23.611959,233200,10.375587
"2001-04-04",23.379923,23.751181,23.379923,23.667648,232000,10.400057
"2001-04-05",23.667648,24.224533,23.667648,24.168846,372500,10.620292
"2001-04-06",24.038906,24.270941,23.797588,23.93681,139400,10.51833
"2001-04-09",23.946091,24.270941,23.899683,24.094593,130000,10.587662
"2001-04-10",24.224533,24.224533,23.87184,23.946091,124500,10.522412
"2001-04-11",23.853277,23.853277,23.287109,23.389206,391500,10.277704
"2001-04-12",23.426331,23.667648,23.398487,23.574833,361200,10.359268
"2001-04-16",23.565552,24.122438,23.342798,23.435612,198700,10.298092
"2001-04-17",23.667648,23.899683,23.565552,23.881121,134800,10.493856
"2001-04-18",23.853277,24.549383,23.779026,24.447289,552500,10.742645
"2001-04-19",24.447289,24.58651,24.103876,24.410162,262900,10.726336
"2001-04-20",24.549383,24.549383,23.992498,24.345192,228900,10.697782
"2001-04-23",24.549383,24.549383,23.992498,24.465851,156300,10.750808
"2001-04-24",24.410162,24.419443,24.13172,24.252378,324800,10.657001
