"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2001-04-25",24.26166,24.317348,24.141001,24.298786,185200,10.677393
"2001-04-26",24.484413,24.595791,24.484413,24.502977,229600,10.767118
"2001-04-27",24.512259,24.595791,24.270941,24.52154,220100,10.775272
"2001-04-30",24.753576,24.78142,24.419443,24.567947,428200,10.795665
"2001-05-01",24.567947,24.595791,24.335911,24.382318,232500,10.714096
"2001-05-02",24.224533,24.410162,24.224533,24.270941,235400,10.665152
"2001-05-03",24.280222,24.354473,24.150282,24.19669,233100,10.632526
"2001-05-04",24.13172,24.354473,24.020342,24.224533,416000,10.644763
"2001-05-07",24.187408,24.26166,23.946091,24.029623,190000,10.559113
"2001-05-08",24.085312,24.13172,23.676929,24.038906,441100,10.563195
"2001-05-09",23.899683,23.899683,23.676929,23.751181,419400,10.436758
"2001-05-10",23.760462,23.760462,23.667648,23.704773,390500,10.416368
"2001-05-11",23.667648,23.760462,23.593397,23.714056,394100,10.420448
"2001-05-14",23.853277,23.881121,23.639803,23.816151,223900,10.465314
"2001-05-15",23.853277,24.270941,23.779026,24.233816,368000,10.648845
"2001-05-16",23.973936,24.252378,23.686211,24.252378,391900,10.892985
"2001-05-17",24.13172,24.502977,24.13172,24.400881,490400,10.959682
"2001-05-18",24.224533,24.577229,24.224533,24.567947,294900,11.03472
"2001-05-21",24.595791,24.827827,24.3916,24.827827,634300,11.151451
"2001-05-22",24.688606,25.180521,24.595791,25.10627,601700,11.276512
"2001-05-23",25.069143,25.199083,24.97633,25.143396,553800,11.293182
"2001-05-24",25.143396,25.338306,24.920641,25.282618,765000,11.355717
"2001-05-25",25.282618,25.282618,25.069143,25.189802,442200,11.314032
"2001-05-29",25.291899,25.291899,24.864952,25.013456,771500,11.234821
"2001-05-30",25.059862,25.152678,24.78142,24.874233,272200,11.172292
"2001-05-31",25.013456,25.17124,24.883516,25.17124,306200,11.305691
"2001-06-01",25.199083,25.356869,25.013456,25.180521,279800,11.309857
"2001-06-04",25.338306,25.338306,25.143396,25.338306,941100,11.380725
"2001-06-05",25.199083,25.43112,25.134113,25.43112,375900,11.422416
"2001-06-06",25.477528,25.616749,25.338306,25.542498,242200,11.472445
"2001-06-07",25.551779,25.579622,25.36615,25.570341,236900,11.484949
"2001-06-08",25.616749,25.616749,25.208366,25.542498,176800,11.472445
"2001-06-11",25.616749,25.988007,25.570341,25.839502,398700,11.605838
"2001-06-12",25.895191,26.684113,25.895191,26.517048,1421400,11.910168
"2001-06-13",26.517048,26.619143,26.266449,26.349981,680200,11.835122
"2001-06-14",26.349981,26.359262,26.312857,26.312857,278900,11.818449
"2001-06-15",26.08082,26.266449,25.709562,25.932318,403800,11.647528
"2001-06-18",25.988007,26.173634,25.913754,26.173634,752700,11.755916
"2001-06-19",25.941599,26.498484,25.941599,26.312857,642600,11.818449
"2001-06-20",26.312857,26.517048,26.312857,26.489202,564400,11.897657
"2001-06-21",26.591299,26.767647,26.40567,26.739801,392400,12.010209
"2001-06-22",26.916149,26.916149,26.544891,26.73052,209900,12.006042
"2001-06-25",26.591299,26.767647,26.544891,26.656269,289700,11.972694
"2001-06-26",26.637707,27.138903,26.591299,27.05537,492400,12.151952
"2001-06-27",26.452078,26.86046,26.452078,26.79549,568900,12.035222
"2001-06-28",26.776928,27.027527,26.684113,27.008963,430000,12.131105
"2001-06-29",27.008963,27.816448,26.981119,27.816448,817900,12.493789
"2001-07-02",27.491598,27.500879,27.05537,27.333813,475900,12.277013
"2001-07-03",27.194592,27.519442,27.111059,27.38022,322900,12.297854
"2001-07-05",27.473034,27.547287,27.287407,27.44519,112900,12.327034
"2001-07-06",27.473034,27.519442,27.287407,27.38022,294100,12.297854
"2001-07-09",27.101778,27.352377,26.916149,26.953274,588600,12.106091
"2001-07-10",26.823334,27.05537,26.823334,26.9904,303300,12.122766
"2001-07-11",26.804771,27.046089,26.684113,26.962557,278000,12.11026
"2001-07-12",26.851179,27.064651,26.823334,27.008963,389500,12.131105
"2001-07-13",27.008963,27.008963,26.916149,27.008963,308300,12.131105
"2001-07-16",26.823334,27.036808,26.776928,26.999681,112200,12.126939
"2001-07-17",26.962557,27.008963,26.823334,27.008963,290800,12.131105
"2001-07-18",26.916149,27.092497,26.823334,27.046089,262000,12.147781
"2001-07-19",27.046089,27.240999,26.916149,27.203873,251700,12.218649
"2001-07-20",27.240999,27.361658,27.148184,27.361658,183700,12.289521
"2001-07-23",27.370939,27.370939,27.101778,27.157467,259100,12.197811
"2001-07-24",27.05537,27.213154,26.823334,26.823334,522900,12.047735
"2001-07-25",26.591299,26.916149,26.544891,26.906868,617000,12.085249
"2001-07-26",26.916149,26.916149,26.637707,26.804771,423900,12.039393
"2001-07-27",27.008963,27.008963,26.73052,26.767647,339900,12.02272
"2001-07-30",26.591299,26.739801,26.414951,26.452078,223400,11.880979
"2001-07-31",26.40567,26.544891,26.294292,26.312857,590900,11.818449
"2001-08-01",26.322138,26.609861,26.294292,26.544891,205000,11.922671
"2001-08-02",26.637707,26.637707,26.433514,26.47064,508500,11.889321
"2001-08-03",26.47064,26.684113,26.452078,26.591299,363900,11.94351
"2001-08-06",26.452078,26.637707,26.452078,26.572737,267600,11.935174
"2001-08-07",26.582018,26.66555,26.498484,26.637707,357600,11.964359
"2001-08-08",26.684113,26.869741,26.544891,26.776928,635600,12.026887
"2001-08-09",26.851179,27.148184,26.786209,27.05537,620300,12.151952
"2001-08-10",27.148184,27.473034,27.064651,27.389502,501700,12.302022
"2001-08-13",27.565849,27.612257,27.278124,27.454472,366800,12.331201
"2001-08-14",27.333813,27.612257,27.333813,27.612257,345500,12.40208
"2001-08-15",27.797884,28.020639,27.621538,28.011358,782600,12.581331
"2001-08-16",27.565849,27.797884,27.454472,27.751478,259900,12.702687
"2001-08-17",27.825729,27.983513,27.612257,27.983513,379200,12.808897
"2001-08-20",27.844292,28.354771,27.751478,28.308363,411100,12.957588
"2001-08-21",28.215549,28.744591,28.178423,28.679621,439000,13.127524
"2001-08-22",28.707464,28.726028,28.308363,28.633213,384100,13.106284
"2001-08-23",28.493992,28.586805,28.215549,28.215549,465100,12.915107
"2001-08-24",28.261955,28.401178,27.519442,27.57513,821800,12.621965
"2001-08-27",27.565849,27.797884,27.287407,27.695789,510900,12.677198
"2001-08-28",27.658663,27.742195,27.584412,27.621538,295500,12.64321
"2001-08-29",27.612257,27.732914,27.092497,27.18531,385900,12.443536
"2001-08-30",27.18531,27.658663,27.148184,27.148184,362300,12.426541
"2001-08-31",27.157467,27.278124,26.934711,27.194592,347700,12.447782
"2001-09-04",27.194592,27.240999,26.953274,27.138903,375200,12.422292
"2001-09-05",26.916149,27.083214,26.814053,27.036808,426500,12.37556
"2001-09-06",27.05537,27.278124,26.981119,27.157467,695900,12.430792
"2001-09-07",27.101778,27.148184,26.804771,26.804771,473000,12.269347
"2001-09-10",26.869741,26.962557,26.591299,26.86046,498500,12.294839
"2001-09-17",25.291899,25.523933,24.502977,25.069143,1351100,11.474906
"2001-09-18",24.874233,25.579622,24.735012,25.468246,441900,11.657584
"2001-09-19",25.75597,25.75597,24.549383,24.892797,832700,11.394182
"2001-09-20",24.595791,24.595791,23.881121,24.13172,770500,11.045814
"2001-09-21",24.13172,24.13172,23.277828,23.649086,1000800,10.824898
"2001-09-24",24.45657,24.967049,23.992498,24.113157,434400,11.037319
"2001-09-25",24.038906,24.799982,24.00178,24.400881,824400,11.16902
"2001-09-26",24.632917,24.837109,24.243097,24.827827,990600,11.364447
"2001-09-27",24.827827,25.004173,24.595791,24.994892,1455600,11.440916
"2001-09-28",25.050581,25.245491,24.827827,24.97633,1347000,11.43241
"2001-10-01",25.245491,25.523933,25.004173,25.338306,602900,11.598104
"2001-10-02",25.43112,25.709562,25.059862,25.152678,442300,11.513134
"2001-10-03",24.874233,25.004173,24.595791,24.967049,1523800,11.428167
"2001-10-04",25.523933,25.551779,25.245491,25.338306,1098900,11.598104
"2001-10-05",25.245491,25.36615,25.050581,25.338306,1177200,11.598104
"2001-10-08",25.338306,25.700281,25.291899,25.607468,417900,11.721309
"2001-10-09",25.848783,26.201479,25.765251,26.136509,814600,11.963466
"2001-10-10",26.127228,26.359262,25.95088,26.331419,619100,12.052687
"2001-10-11",26.238604,26.981119,26.229322,26.981119,653900,12.350072
"2001-10-12",26.916149,26.92543,26.359262,26.684113,505800,12.214118
"2001-10-15",26.73052,26.906868,26.554173,26.814053,439000,12.273597
"2001-10-16",26.776928,26.823334,26.266449,26.684113,717400,12.214118
"2001-10-17",26.591299,26.832617,26.507767,26.591299,553800,12.171635
"2001-10-18",26.452078,26.66555,26.08082,26.322138,405800,12.048432
"2001-10-19",26.294292,26.303574,25.551779,25.579622,531000,11.708563
"2001-10-22",25.616749,26.071539,24.97633,25.254772,629600,11.55987
"2001-10-23",25.43112,25.88591,25.319742,25.421839,350800,11.636341
"2001-10-24",25.653873,25.709562,25.0413,25.143396,707500,11.508889
"2001-10-25",25.10627,25.254772,25.032019,25.17124,686100,11.521638
"2001-10-26",25.17124,25.384712,24.985611,25.254772,553300,11.55987
"2001-10-29",25.10627,25.421839,24.967049,25.161959,343500,11.517389
"2001-10-30",25.338306,25.384712,24.502977,24.91136,520600,11.402678
"2001-10-31",24.91136,25.523933,24.837109,25.523933,751400,11.683072
"2001-11-01",25.43112,26.173634,25.43112,25.969442,461400,11.886994
"2001-11-02",25.895191,26.08082,25.523933,25.88591,329900,11.84876
"2001-11-05",25.988007,26.220041,25.802378,25.802378,278900,11.810526
"2001-11-06",25.941599,26.099382,25.728127,25.960161,762400,11.882747
"2001-11-07",25.988007,26.220041,25.709562,25.895191,849100,11.853007
"2001-11-08",25.895191,26.220041,25.830221,26.164352,402900,11.976212
"2001-11-09",26.173634,26.498484,25.848783,25.978724,686200,11.891241
"2001-11-12",26.127228,26.201479,25.75597,26.01585,292200,11.908235
"2001-11-13",26.155071,26.656269,26.117947,26.479921,444900,12.120657
"2001-11-14",26.479921,26.971838,26.461359,26.888304,886000,12.307588
"2001-11-15",26.396389,26.776928,26.359262,26.73052,481000,12.47902
"2001-11-16",26.498484,26.971838,26.498484,26.656269,550400,12.444361
"2001-11-19",26.776928,26.786209,26.08082,26.554173,490300,12.396692
"2001-11-20",26.47064,26.637707,26.220041,26.442797,624000,12.34469
"2001-11-21",26.452078,26.53561,26.229322,26.498484,205100,12.370692
"2001-11-23",26.544891,26.674831,26.442797,26.53561,91200,12.388028
"2001-11-26",26.53561,26.693394,25.988007,26.414951,1291100,12.331697
"2001-11-27",26.452078,26.73052,26.452078,26.53561,294900,12.388028
"2001-11-28",26.591299,27.008963,26.591299,26.804771,527300,12.513687
"2001-11-29",26.73052,27.018244,26.3407,26.869741,335300,12.544019
"2001-11-30",26.906868,27.148184,26.776928,26.814053,618200,12.518011
"2001-12-03",26.916149,27.343094,26.776928,27.027527,474200,12.617676
"2001-12-04",27.194592,27.398783,27.101778,27.333813,560500,12.760664
"2001-12-05",27.426628,27.593693,27.38022,27.528723,599400,12.851654
"2001-12-06",27.70507,27.70507,27.519442,27.519442,654100,12.847325
"2001-12-07",27.547287,27.779322,27.473034,27.779322,468100,12.968649
"2001-12-10",27.751478,27.751478,27.278124,27.565849,460900,12.868989
"2001-12-11",27.473034,27.788603,27.473034,27.70507,744100,12.933982
"2001-12-12",27.816448,27.816448,27.194592,27.723633,1305700,12.942645
"2001-12-13",27.658663,27.677227,27.278124,27.417347,982800,12.799655
"2001-12-14",27.38022,27.51016,27.240999,27.324532,527400,12.75633
"2001-12-17",27.31525,27.630819,27.111059,27.565849,542500,12.868989
"2001-12-18",27.70507,27.797884,27.473034,27.538004,770500,12.855989
"2001-12-19",27.538004,27.556568,27.240999,27.435909,278900,12.808329
"2001-12-20",27.38022,27.389502,26.916149,26.916149,516900,12.565682
"2001-12-21",26.92543,27.213154,26.869741,27.05537,366500,12.630679
"2001-12-24",27.101778,27.333813,27.008963,27.176029,128700,12.687004
"2001-12-26",27.008963,27.454472,26.916149,27.240999,344800,12.717333
"2001-12-27",27.324532,27.473034,26.934711,27.203873,312800,12.7
"2001-12-28",27.240999,27.305969,26.897587,27.12034,519800,12.66101
"2001-12-31",26.934711,27.408064,26.79549,27.222437,382800,12.708669
"2002-01-02",27.231718,27.51016,26.73052,27.268843,379200,12.730332
"2002-01-03",27.333813,27.70507,27.333813,27.677227,542900,12.920985
"2002-01-04",27.677227,27.742195,27.38022,27.51016,435100,12.842993
"2002-01-07",27.287407,27.612257,27.287407,27.287407,405400,12.738998
"2002-01-08",27.398783,27.51016,27.157467,27.389502,435700,12.786655
"2002-01-09",27.389502,27.556568,27.203873,27.203873,790000,12.7
"2002-01-10",27.194592,27.370939,27.194592,27.31525,315900,12.751998
"2002-01-11",27.305969,27.370939,27.231718,27.231718,218100,12.713003
"2002-01-14",27.333813,27.714352,27.333813,27.6401,903200,12.903648
"2002-01-15",27.70507,27.937105,27.565849,27.565849,873100,12.868989
"2002-01-16",27.612257,27.797884,27.333813,27.454472,194200,12.816993
"2002-01-17",27.454472,27.70507,27.398783,27.677227,284200,12.920985
"2002-01-18",27.677227,27.723633,27.324532,27.389502,410600,12.786655
"2002-01-22",27.426628,27.612257,27.389502,27.473034,434500,12.825661
"2002-01-23",27.333813,27.602974,27.240999,27.44519,421600,12.812663
"2002-01-24",27.51016,27.844292,27.51016,27.732914,727800,12.94698
"2002-01-25",27.797884,27.964951,27.751478,27.751478,380600,12.955651
"2002-01-28",27.751478,27.844292,27.667944,27.807165,198000,12.981644
"2002-01-29",27.844292,27.927824,27.751478,27.779322,315700,12.968649
"2002-01-30",27.825729,27.937105,27.658663,27.927824,262300,13.037973
"2002-01-31",27.835011,28.169142,27.788603,28.113453,518200,13.124638
"2002-02-01",28.113453,28.113453,27.955669,28.067045,185700,13.102968
"2002-02-04",28.067045,28.122734,27.899981,28.085609,411100,13.111639
"2002-02-05",28.029921,28.373333,28.029921,28.159861,465300,13.146298
"2002-02-06",28.261955,28.308363,28.039202,28.261955,794200,13.193964
"2002-02-07",28.271238,28.67034,28.169142,28.187704,284600,13.159304
"2002-02-08",28.196985,28.531118,28.104172,28.252674,368100,13.18963
"2002-02-11",28.447584,28.679621,28.354771,28.484711,384500,13.297962
"2002-02-12",28.586805,28.60537,28.261955,28.401178,736600,13.258961
"2002-02-13",28.029921,28.354771,27.844292,28.215549,377700,13.42038
"2002-02-14",28.206268,28.215549,28.085609,28.178423,450600,13.402716
"2002-02-15",28.206268,28.429022,28.206268,28.429022,745000,13.521914
"2002-02-19",28.401178,28.503273,28.308363,28.438303,463600,13.526326
"2002-02-20",28.354771,28.493992,28.326925,28.447584,539200,13.530743
"2002-02-21",28.493992,28.531118,28.224831,28.224831,335500,13.424792
"2002-02-22",28.169142,28.373333,28.169142,28.373333,831400,13.495422
"2002-02-25",28.382614,28.493992,28.261955,28.336208,385700,13.477767
"2002-02-26",28.586805,28.679621,28.47543,28.531118,326000,13.57047
"2002-02-27",28.5404,28.772434,28.336208,28.493992,299100,13.552813
"2002-02-28",28.726028,28.726028,28.447584,28.568243,571000,13.58813
"2002-03-01",28.753872,28.753872,28.549681,28.67034,1442000,13.636685
"2002-03-04",28.726028,28.958063,28.633213,28.902374,1215200,13.747053
"2002-03-05",28.790998,29.422134,28.790998,29.366446,488600,13.967783
"2002-03-06",29.366446,29.366446,28.958063,29.310759,667600,13.941297
"2002-03-07",29.375729,29.422134,29.171535,29.273632,327500,13.923636
"2002-03-08",29.329321,29.366446,29.25507,29.264351,862500,13.919227
"2002-03-11",29.032314,29.366446,28.883812,28.958063,359900,13.773545
"2002-03-12",28.939501,28.976625,28.679621,28.855968,763600,13.724981
"2002-03-13",28.911655,29.032314,28.772434,28.958063,1354100,13.773545
"2002-03-14",28.958063,29.477823,28.86525,29.459261,1534400,14.011931
"2002-03-15",29.468542,29.793392,29.329321,29.672733,833300,14.11347
"2002-03-18",29.51495,30.350279,29.468542,30.146086,612200,14.338614
"2002-03-19",30.146086,30.146086,29.821236,29.979021,592300,14.259153
"2002-03-20",29.979021,30.043991,29.8398,29.8398,674800,14.192928
"2002-03-21",29.746984,30.350279,29.746984,30.350279,327200,14.435732
"2002-03-22",29.979021,30.610159,29.979021,30.340996,422200,14.431315
"2002-03-25",29.951176,30.090399,29.617044,29.784111,520600,14.166445
"2002-03-26",29.607763,30.211056,29.607763,30.09968,1004300,14.316539
"2002-03-27",30.071835,30.4895,30.053272,30.461655,882100,14.488706
"2002-03-28",30.693691,30.693691,30.127523,30.285309,491400,14.40483
"2002-04-01",30.257463,30.470936,30.183212,30.396685,314600,14.457805
"2002-04-02",30.396685,30.600876,30.192493,30.535906,613000,14.524019
"2002-04-03",30.767942,30.860756,30.4895,30.610159,663800,14.559341
"2002-04-04",30.628721,30.767942,30.415249,30.693691,708200,14.599076
"2002-04-05",30.628721,31.037104,30.610159,30.94429,518700,14.718269
"2002-04-08",30.767942,31.083511,30.702972,30.999979,373700,14.744756
"2002-04-09",31.092793,31.510456,30.999979,31.371235,483200,14.921335
"2002-04-10",31.324829,31.556864,31.287703,31.52902,588400,14.996382
"2002-04-11",31.547583,31.547583,31.232014,31.315546,630100,14.894853
"2002-04-12",31.371235,32.020935,31.33411,31.937403,647500,15.190628
"2002-04-15",31.324829,32.020935,31.157763,31.603271,652400,15.031706
"2002-04-16",31.72393,31.742493,31.055666,31.380516,610400,14.925755
"2002-04-17",31.556864,31.556864,30.675129,31.018541,472900,14.753583
"2002-04-18",31.046385,31.296984,30.860756,31.092793,529200,14.788898
"2002-04-19",31.324829,31.371235,30.535906,30.74938,561400,14.62556
"2002-04-22",30.81435,31.092793,30.628721,30.675129,563400,14.590244
"2002-04-23",30.582314,30.675129,30.350279,30.443092,1087400,14.479882
"2002-04-24",30.443092,30.953571,30.396685,30.405966,379700,14.462219
"2002-04-25",30.415249,30.721535,30.378122,30.545189,207400,14.528438
"2002-04-26",30.721535,31.046385,30.22962,30.897882,441800,14.696192
"2002-04-29",30.897882,31.046385,30.832912,31.046385,304700,14.766829
"2002-04-30",31.046385,31.538301,31.046385,31.324829,456800,14.899269
"2002-05-01",31.278421,31.510456,31.1392,31.510456,687300,14.987557
"2002-05-02",31.677523,31.974529,31.556864,31.798182,553900,15.124411
"2002-05-03",31.7889,31.91884,31.352673,31.85387,527300,15.150905
"2002-05-06",31.900276,32.011654,31.510456,31.575426,322400,15.018467
"2002-05-07",31.575426,31.575426,31.185606,31.408361,535900,14.938991
"2002-05-08",31.510456,31.556864,30.953571,31.417643,346600,14.943404
"2002-05-09",31.185606,31.417643,31.046385,31.055666,312500,14.771241
"2002-05-10",31.232014,31.232014,30.535906,31.046385,521400,14.766829
"2002-05-13",31.046385,31.417643,30.907164,31.185606,330900,14.833044
"2002-05-14",31.232014,31.306265,31.102074,31.26914,862400,14.872779
"2002-05-15",30.851475,30.990696,30.628721,30.953571,727100,14.986277
"2002-05-16",30.907164,30.916445,30.638002,30.675129,461800,14.851468
"2002-05-17",30.638002,30.702972,30.4895,30.61944,475500,14.824507
"2002-05-20",30.61944,30.628721,30.4895,30.545189,942000,14.788557
"2002-05-21",30.545189,30.61944,30.368841,30.405966,443800,14.721153
"2002-05-22",30.303871,30.610159,30.211056,30.508062,931400,14.770588
"2002-05-23",30.508062,31.445486,30.396685,31.176325,467000,15.094124
"2002-05-24",31.167044,31.39908,30.907164,31.222733,371600,15.116593
"2002-05-28",31.324829,31.473331,31.306265,31.380516,607200,15.192989
"2002-05-29",31.46405,31.742493,31.426924,31.631115,1463400,15.314313
"2002-05-30",31.742493,31.863152,31.59399,31.770336,549400,15.381716
"2002-05-31",31.928122,32.104469,31.454769,31.621834,881300,15.309821
"2002-06-03",31.835306,31.974529,31.575426,31.603271,562800,15.300838
"2002-06-04",31.649679,31.686804,31.52902,31.621834,698200,15.309821
"2002-06-05",31.640396,31.742493,31.556864,31.742493,598500,15.368237
"2002-06-06",31.7889,31.928122,31.556864,31.733212,559900,15.363742
"2002-06-07",31.733212,31.733212,31.194889,31.584709,405500,15.291845
"2002-06-10",31.696085,31.7889,31.566145,31.742493,189000,15.368237
"2002-06-11",31.649679,32.206566,31.649679,31.974529,1949200,15.480581
"2002-06-12",32.160156,32.429317,31.937403,31.993092,2023700,15.489575
"2002-06-13",32.002373,32.308659,31.928122,32.234409,447800,15.606397
"2002-06-14",32.234409,32.252972,32.020935,32.169437,516200,15.574944
"2002-06-17",32.206566,32.624229,32.141594,32.587101,706500,15.777151
"2002-06-18",32.57782,32.642792,32.392193,32.57782,430900,15.772669
"2002-06-19",32.587101,32.846981,32.475727,32.568539,428900,15.768168
"2002-06-20",32.382912,32.754169,32.252972,32.717041,241000,15.84007
"2002-06-21",33.22752,33.413151,32.986206,33.22752,2165200,16.087217
"2002-06-24",33.366741,33.40387,33.181114,33.301773,772900,16.123173
"2002-06-25",33.784409,33.784409,32.030216,33.413151,12824700,16.177094
"2002-06-26",33.088299,33.737999,33.069736,33.552372,2661700,16.244499
"2002-06-27",33.784409,33.858658,33.413151,33.691593,1396500,16.311892
"2002-06-28",33.951473,34.294888,33.478119,34.192791,2106000,16.55455
"2002-07-01",34.192791,34.192791,33.561653,33.737999,1736500,16.33437
"2002-07-02",33.737999,33.784409,33.199677,33.598778,2895000,16.266972
"2002-07-03",33.505966,33.682312,32.995487,33.459557,1141300,16.199556
"2002-07-05",33.459557,33.598778,33.22752,33.598778,723400,16.266972
"2002-07-08",33.645187,33.737999,33.366741,33.552372,1247200,16.244499
"2002-07-09",33.570934,33.589497,33.301773,33.301773,702800,16.123173
"2002-07-10",33.301773,33.635906,32.8377,33.041893,1526100,15.997349
"2002-07-11",32.902672,32.911953,30.628721,31.826025,3246500,15.408683
"2002-07-12",32.011654,32.382912,31.779619,31.844589,914300,15.417666
"2002-07-15",31.881714,31.881714,30.94429,31.640396,1305800,15.318809
"2002-07-16",31.408361,32.661354,31.408361,31.974529,1460700,15.480581
"2002-07-17",32.206566,32.70776,31.65896,31.696085,1261800,15.345772
"2002-07-18",31.742493,31.928122,30.675129,30.907164,866300,14.963811
