"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2001-01-02",27.190489,27.190489,25.556545,25.891714,725500,15.392408
"2001-01-03",26.143089,27.986513,25.556545,27.81893,1635500,16.538122
"2001-01-04",27.693241,28.489265,27.399969,27.902721,904100,16.587933
"2001-01-05",27.986513,28.154097,26.56205,27.148594,1262600,16.139618
"2001-01-08",27.399969,27.777033,26.897217,27.274281,1173600,16.214338
"2001-01-09",27.232386,27.609449,26.478258,26.56205,1141100,15.790915
"2001-01-10",26.56205,26.77153,26.143089,26.645842,886000,15.840727
"2001-01-11",27.022905,27.106697,25.975506,26.77153,1008500,15.915451
"2001-01-12",27.274281,27.483761,26.77153,27.358072,950100,16.264141
"2001-01-16",27.399969,28.154097,26.77153,28.154097,1030200,16.737371
"2001-01-17",28.154097,28.405472,27.735136,28.028408,1257900,16.662657
"2001-01-18",28.028408,28.195993,27.651344,28.154097,1197100,16.737371
"2001-01-19",28.237888,28.489265,27.860825,28.363577,889300,16.861914
"2001-01-22",28.237888,28.279785,27.358072,27.525658,1673200,16.36377
"2001-01-23",24.551043,27.399969,24.551043,27.358072,4167200,16.264141
"2001-01-24",27.525658,27.735136,27.358072,27.483761,1220000,16.338867
"2001-01-25",27.064802,27.441866,26.77153,27.148594,1376100,16.139618
"2001-01-26",27.106697,27.148594,26.394466,26.813425,858000,15.940362
"2001-01-29",26.813425,27.061449,26.558699,26.880459,724800,15.980213
"2001-01-30",26.887163,27.698269,26.679358,27.644642,1700100,16.434507
"2001-01-31",27.812225,28.489265,27.483761,27.751896,890400,16.498276
"2001-02-01",27.651344,27.966402,27.416727,27.644642,564500,16.434507
"2001-02-02",27.725082,28.154097,27.215628,27.336287,492700,16.25119
"2001-02-05",27.483761,27.825632,27.483761,27.731785,782700,16.486315
"2001-02-06",27.718378,27.751896,27.490465,27.557499,1080400,16.382706
"2001-02-07",27.584311,27.604422,27.416727,27.483761,1539200,16.338867
"2001-02-08",27.550795,27.718378,27.477058,27.537388,1098300,16.370749
"2001-02-09",27.704971,27.704971,27.08156,27.08156,989900,16.099756
"2001-02-12",26.913977,27.450245,26.840239,27.215628,1808300,16.179464
"2001-02-13",27.383211,27.617828,27.28266,27.477058,981200,16.334883
"2001-02-14",27.316177,27.450245,27.115076,27.175407,947100,16.155554
"2001-02-15",27.175407,27.952995,27.175407,27.792116,828200,16.522181
"2001-02-16",27.785412,27.879259,27.148594,27.443541,1372000,16.314953
"2001-02-20",27.416727,28.020029,27.28266,27.349693,1088000,16.259163
"2001-02-21",27.684862,27.684862,26.987713,27.021229,913200,16.06389
"2001-02-22",27.215628,27.383211,26.18331,26.551994,976000,15.784937
"2001-02-23",26.143089,26.397818,25.472754,25.995617,1094500,15.454174
