"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2004-11-18",84.827049,86.884338,82.555565,83.457184,33383800,83.457184
"2004-11-19",84.234268,84.672623,82.949089,84.383713,17604300,84.383713
"2004-11-22",81.927917,84.433525,80.353813,82.241737,24829000,82.241737
"2004-11-23",83.671379,85.096039,82.939125,83.44722,24919600,83.44722
"2004-11-24",87.083588,88.274124,85.932899,87.053703,30676400,87.053703
"2004-11-26",87.571762,89.678864,87.332657,89.360054,13008700,89.360054
"2004-11-29",89.843246,91.133408,88.423569,90.186958,21413100,90.186958
"2004-11-30",90.017593,91.158318,89.788452,90.650223,15457600,90.650223
"2004-12-01",90.635277,90.909248,89.439758,89.64399,15787100,89.64399
"2004-12-02",89.614105,90.4161,88.941628,89.365036,12568700,89.365036
"2004-12-03",89.639008,90.19194,88.468399,89.863174,11782300,89.863174
"2004-12-06",89.230545,90.012611,87.681351,87.815842,12554800,87.815842
"2004-12-07",87.671387,87.771011,84.956558,85.39492,13793200,85.39492
"2004-12-08",84.856934,86.515717,84.049957,84.672623,15140000,84.672623
"2004-12-09",84.807121,86.426056,83.920448,86.391182,15365300,86.391182
"2004-12-10",86.391182,87.11348,85.32518,85.504509,8666700,85.504509
"2004-12-13",85.763535,86.266655,84.408615,84.906746,9673200,84.906746
"2004-12-14",85.180725,89.076118,84.483337,89.01136,22259800,89.01136
"2004-12-15",88.662674,90.007629,88.000153,89.554329,23027900,89.554329
"2004-12-16",88.144615,89.908005,87.646477,87.90551,17209800,87.90551
"2004-12-17",88.049965,89.912987,87.945358,89.703766,14827600,89.703766
"2004-12-20",90.660187,93.87812,90.595428,92.164543,19742600,92.164543
"2004-12-21",92.807137,93.589203,91.357567,91.531914,11073900,91.531914
"2004-12-22",91.606636,93.076126,91.1633,92.802155,7843200,92.802155
"2004-12-23",93.375008,93.947861,92.652718,93.599167,7256200,93.599167
"2004-12-27",94.221832,96.289085,94.19693,95.59668,12253900,95.59668
"2004-12-28",95.696304,96.41362,95.148361,96.020096,8322500,96.020096
"2004-12-29",95.531921,96.398674,95.531921,96.089828,5376200,96.089828
"2004-12-30",96.124702,98.744881,95.566795,98.431053,11852800,98.431053
"2004-12-31",99.243011,99.566803,95.920464,96.035034,15394400,96.035034
"2005-01-03",98.331429,101.439781,97.365051,100.976517,31807000,100.976517
"2005-01-04",100.323959,101.086105,96.378746,96.886841,27614900,96.886841
"2005-01-05",96.363808,98.082367,95.756081,96.393692,16534800,96.393692
"2005-01-06",97.175758,97.584229,93.509506,93.922951,20851900,93.922951
"2005-01-07",94.96405,96.762314,94.037521,96.563057,19398200,96.563057
"2005-01-10",96.886841,98.680122,95.556831,97.165802,15135600,97.165802
"2005-01-11",97.444756,98.485847,96.229309,96.408638,13969500,96.408638
"2005-01-12",96.802162,97.599174,94.89431,97.325203,16416800,97.325203
"2005-01-13",97.325203,98.326447,96.662682,97.300293,13750000,97.300293
"2005-01-14",97.634041,99.631554,96.702538,99.611633,19352700,99.611633
"2005-01-18",100.109764,102.127205,98.959076,101.56929,26443900,101.56929
"2005-01-19",101.942894,102.266678,97.987717,98.281616,22599700,98.281616
"2005-01-20",95.890579,97.758575,95.64151,96.597931,18070600,96.597931
"2005-01-21",96.906769,97.315239,93.708755,93.78846,18586100,93.78846
"2005-01-24",93.992691,94.311501,89.823318,90.022575,28150400,90.022575
"2005-01-25",90.630295,90.779732,87.815842,88.229294,21398200,88.229294
"2005-01-26",89.300278,94.351349,89.240501,94.266663,24708000,94.266663
"2005-01-27",94.027565,94.077377,92.254211,93.688828,13304400,93.688828
"2005-01-28",94.655212,96.986473,92.822083,94.814613,24507900,94.814613
"2005-01-31",96.48336,97.81337,95.502037,97.444756,19265200,97.444756
"2005-02-01",96.827072,97.962814,94.959068,95.591698,37819100,95.591698
"2005-02-02",107.372543,107.995209,101.449745,102.595444,65844300,102.595444
"2005-02-03",102.61039,106.286613,102.520729,105.036301,26073400,105.036301
"2005-02-04",102.849495,103.487106,100.921722,101.798431,29749600,101.798431
"2005-02-07",102.246758,102.814629,97.389961,97.648987,26017900,97.648987
"2005-02-08",98.112251,99.636536,96.901787,98.949112,23045900,98.949112
"2005-02-09",100.005157,100.423584,94.376251,95.432297,34471600,95.432297
"2005-02-10",95.626572,95.746117,92.279114,93.639015,38107600,93.639015
"2005-02-11",92.981483,95.800911,92.687584,93.350098,26330200,93.350098
"2005-02-14",91.083595,96.179497,90.162048,96.134666,77413400,96.134666
"2005-02-15",96.438522,99.546875,96.179497,97.250481,51758800,97.250481
"2005-02-16",96.986473,99.292824,96.787216,98.834541,33188400,98.834541
"2005-02-17",98.545624,99.502045,98.037529,98.580498,20906800,98.580498
"2005-02-18",98.884354,99.048744,97.962814,98.6054,17035300,98.6054
"2005-02-22",97.88311,99.078629,94.839516,95.32769,27068400,95.32769
"2005-02-23",96.289085,96.876884,93.977745,96.612869,31288700,96.612869
"2005-02-24",91.342628,94.570526,90.774757,94.092316,51822000,94.092316
"2005-02-25",94.221832,94.605392,92.40863,92.587959,20021700,92.587959
"2005-02-28",92.652718,94.58049,92.577995,93.643997,15695300,93.643997
"2005-03-01",94.291573,94.520714,90.660187,92.682602,18692100,92.682602
"2005-03-02",92.627808,93.484596,91.835777,92.244247,14625500,92.244247
"2005-03-03",92.717476,93.524445,91.810867,93.15583,15274200,93.15583
"2005-03-04",93.001411,93.275383,92.189453,92.602905,13598900,92.602905
"2005-03-07",93.539391,94.445992,93.165794,94.052467,17399700,94.052467
"2005-03-08",94.19693,94.570526,92.139641,92.254211,16152400,92.254211
"2005-03-09",91.761055,91.980232,89.743622,90.336395,22805900,90.336395
"2005-03-10",90.16703,90.261681,88.368774,89.653954,22003100,89.653954
"2005-03-11",89.883095,90.137146,88.24424,88.568024,16116700,88.568024
"2005-03-14",88.832039,88.866905,85.962791,87.168274,22376600,87.168274
"2005-03-15",87.322693,89.663918,86.779732,88.971512,20922200,88.971512
"2005-03-16",88.020081,88.971512,87.178238,87.47213,14265800,87.47213
"2005-03-17",88.234276,89.484589,87.571762,89.310242,16583100,89.310242
"2005-03-18",89.071136,89.863174,88.822075,89.683846,14233000,89.683846
"2005-03-21",89.300278,90.744865,88.294052,90.102272,15023400,90.102272
"2005-03-22",90.251717,90.630295,88.592934,88.96653,11305500,88.96653
"2005-03-23",88.65271,89.78347,88.65271,89.155823,9726200,89.155823
"2005-03-24",90.012611,90.092316,89.265411,89.290321,7438100,89.290321
"2005-03-28",90.500778,92.054955,90.137146,90.371269,17541400,90.371269
"2005-03-29",90.186958,91.297791,88.702522,89.449722,12994400,89.449722
"2005-03-30",89.982719,90.386208,89.464668,89.888077,12518800,89.888077
"2005-03-31",88.642746,90.356323,88.488327,89.917969,13587900,89.917969
"2005-04-01",90.540634,91.133408,89.658936,89.683846,12410200,89.683846
"2005-04-04",89.639008,92.313988,89.584213,92.299042,16213200,92.299042
"2005-04-05",93.514488,94.774757,93.434784,93.932915,17538800,93.932915
"2005-04-06",94.266663,94.470901,93.439766,94.256706,10544500,94.256706
"2005-04-07",94.037521,96.946617,93.967789,96.518227,19456900,96.518227
"2005-04-08",96.48336,97.185722,95.367538,95.66642,10271500,95.66642
"2005-04-11",96.184479,97.036285,95.800911,96.254219,10861500,96.254219
"2005-04-12",96.139648,96.846992,94.351349,96.617851,14694000,96.617851
"2005-04-13",96.373764,96.79718,94.51075,96.104774,13160700,96.104774
"2005-04-14",96.274139,96.817108,94.695061,95.367538,12351500,95.367538
"2005-04-15",94.695061,94.814613,91.985214,92.154579,23241500,92.154579
"2005-04-18",91.945366,93.589203,91.402405,93.135902,13149700,93.135902
"2005-04-19",94.311501,95.64151,93.663925,95.342636,16923100,95.342636
"2005-04-20",98.919228,99.875641,97.589211,98.680122,31018800,98.680122
"2005-04-21",99.835793,102.117241,99.287842,101.728699,35636800,101.728699
"2005-04-22",111.033821,111.581764,106.72995,107.502052,66659100,107.502052
"2005-04-25",108.503304,111.950386,108.353867,111.347641,39828600,111.347641
"2005-04-26",109.698822,110.585495,108.737427,108.966568,34673400,108.966568
"2005-04-27",108.587982,110.012642,107.965317,109.479645,20606500,109.479645
"2005-04-28",109.340164,110.625351,108.448509,109.315262,17430600,109.315262
"2005-04-29",110.540665,110.71003,108.503304,109.589233,18409100,109.589233
"2005-05-02",110.610405,111.432327,109.69384,110.729958,19607900,110.729958
"2005-05-03",110.51078,113.649017,110.246765,112.672676,35693600,112.672676
"2005-05-04",113.190735,114.510788,113.076164,113.823364,24257500,113.823364
"2005-05-05",113.883141,113.883141,112.518257,113.0662,15075400,113.0662
"2005-05-06",113.773552,114.19696,112.812149,113.584259,13578400,113.584259
"2005-05-09",113.574295,113.823364,112.294098,112.58799,11115000,112.58799
"2005-05-10",112.314018,113.47467,111.940422,113.47467,12739000,113.47467
"2005-05-11",114.057487,115.556862,113.539429,115.21315,23043500,115.21315
"2005-05-12",114.974052,115.681396,113.67392,113.932953,17963300,113.932953
"2005-05-13",114.162094,115.113525,113.235565,114.191978,14886500,114.191978
"2005-05-16",114.411156,115.377533,113.858231,115.093597,11405300,115.093597
"2005-05-17",114.849518,116.289124,114.670189,116.129715,15676300,116.129715
"2005-05-18",116.36882,119.536949,116.32399,119.133461,24716200,119.133461
"2005-05-19",119.721252,120.134705,118.690117,119.143425,19505800,119.143425
"2005-05-20",120.154633,120.383774,119.377541,120.353882,16388100,120.353882
"2005-05-23",121.125992,128.5681,120.901833,127.248047,42936800,127.248047
"2005-05-24",128.000229,132.224396,126.276688,127.522018,58303800,127.522018
"2005-05-25",125.89312,130.002716,124.847046,129.91803,36251100,129.91803
"2005-05-26",129.992752,131.387527,128.667725,129.116043,27194600,129.116043
"2005-05-27",129.743683,132.528244,129.140945,132.503342,24459400,132.503342
"2005-05-31",134.211945,138.680191,134.182053,138.11731,44640200,138.11731
"2005-06-01",141.071228,145.898132,140.483429,143.462265,70647100,143.462265
"2005-06-02",143.825912,144.348938,141.768616,143.41246,36082800,143.41246
"2005-06-03",142.859528,144.109848,138.187042,139.60672,37705300,139.60672
"2005-06-06",140.66774,146.326538,140.388794,144.926773,45220600,144.926773
"2005-06-07",147.99527,149.235626,144.607971,146.012711,48828200,146.012711
"2005-06-08",145.87822,146.047577,138.480942,139.258026,51594400,139.258026
"2005-06-09",141.8284,143.711334,139.756165,142.620422,33005300,142.620422
"2005-06-10",142.959152,143.103607,139.487167,140.722534,25488200,140.722534
"2005-06-13",139.387543,141.564377,137.743698,140.847076,25702300,140.847076
"2005-06-14",138.774841,140.094894,138.3564,138.655289,20259300,138.655289
"2005-06-15",136.986542,138.132248,133.215668,136.886917,41922600,136.886917
"2005-06-16",136.61792,138.630386,136.025146,138.201981,25018100,138.201981
"2005-06-17",138.979065,139.626648,137.43486,139.626648,20946900,139.626648
"2005-06-20",137.52951,143.297882,135.357651,142.814697,42206900,142.814697
"2005-06-21",143.497131,144.607971,141.952927,143.382568,30377900,143.382568
"2005-06-22",144.294144,145.614197,143.796021,144.109848,21026400,144.109848
"2005-06-23",143.462265,146.854553,142.715073,144.314072,28218100,144.314072
"2005-06-24",144.90686,148.443604,144.249313,148.069992,35675500,148.069992
"2005-06-27",148.891922,151.666519,146.381332,151.482208,35739200,151.482208
"2005-06-28",152.56813,154.047592,150.436127,150.436127,38215600,150.436127
"2005-06-29",150.685196,151.621689,145.529526,145.813461,36734400,145.813461
"2005-06-30",146.620438,148.90686,144.976593,146.525787,30301800,146.525787
"2005-07-01",146.969116,147.566879,144.069992,145.081207,18524300,145.081207
"2005-07-05",145.504608,147.437363,144.573105,147.302872,15044000,147.302872
"2005-07-06",148.09491,148.244339,145.14595,145.215698,16060500,145.215698
"2005-07-07",144.154678,147.347702,143.716309,147.218185,21424100,147.218185
"2005-07-08",147.571869,148.194534,146.475967,147.561905,14971000,147.561905
"2005-07-11",147.646591,147.746216,144.966629,146.127274,16843400,146.127274
"2005-07-12",146.147202,146.650314,144.921799,145.345215,11773700,145.345215
"2005-07-13",145.708847,149.061279,145.504608,148.871994,22961400,148.871994
"2005-07-14",152.099899,152.802261,149.474731,149.883194,21415300,149.883194
"2005-07-15",150.057541,151.133514,149.330276,150.032639,16939900,150.032639
"2005-07-18",149.439865,150.386322,148.319061,149.210724,12462100,149.210724
"2005-07-19",150.485947,154.595535,150.336502,154.371384,25337300,154.371384
"2005-07-20",152.214462,155.721313,150.336502,155.41745,28728000,155.41745
"2005-07-21",156.438629,158.306625,155.023926,156.383835,39727000,156.383835
"2005-07-22",152.612976,154.047592,147.61171,150.635376,46948800,150.635376
"2005-07-25",150.630402,151.07872,146.929276,147.372604,19389900,147.372604
"2005-07-26",146.954178,148.443604,145.499634,147.492157,19707300,147.492157
"2005-07-27",148.314087,148.558167,145.654053,147.910599,14489800,147.910599
"2005-07-28",148.149704,148.149704,146.092407,146.201996,11895500,146.201996
"2005-07-29",145.524536,145.87323,142.959152,143.342712,16789200,143.342712
"2005-08-01",143.522049,145.703873,143.512085,145.260529,11367200,145.260529
"2005-08-02",145.255539,149.20076,145.016449,149.036377,14634900,149.036377
"2005-08-03",148.443604,149.300385,147.248077,148.09491,11905500,148.09491
"2005-08-04",147.223175,148.941727,147.07373,148.309097,10512100,148.309097
"2005-08-05",148.194534,148.697647,145.111084,145.62915,11923800,145.62915
"2005-08-08",146.251816,147.27298,144.702621,145.081207,8997100,145.081207
"2005-08-09",145.434875,145.793533,143.716309,145.240601,11601800,145.240601
"2005-08-10",145.10611,145.619186,141.908096,142.306595,13809500,142.306595
"2005-08-11",142.411209,142.754913,139.786041,141.494644,15086100,141.494644
"2005-08-12",141.150925,144.558167,140.294144,144.319061,13221000,144.319061
"2005-08-15",144.358902,145.838364,141.355164,141.469742,16410600,141.469742
"2005-08-16",141.908096,143.357666,141.140976,142.291656,14271600,142.291656
"2005-08-17",142.221924,142.749939,141.469742,142.017685,7795600,142.017685
"2005-08-18",137.439835,139.726273,136.986542,139.472229,23834500,139.472229
"2005-08-19",139.970352,140.199493,139.287918,139.477203,11127200,139.477203
"2005-08-22",140.094894,140.209457,136.164627,136.493393,13677000,136.493393
"2005-08-23",137.564377,139.347687,136.548187,139.26799,11686900,139.26799
"2005-08-24",138.266739,141.843338,137.708832,140.757401,17250500,140.757401
"2005-08-25",140.747437,141.469742,139.462265,140.767365,8785900,140.767365
"2005-08-26",141.210709,141.977829,140.802246,141.260513,7538700,141.260513
"2005-08-29",140.593018,144.020172,140.593018,143.686432,11850200,143.686432
"2005-08-30",143.158401,144.214447,142.406219,143.098633,9619800,143.098633
"2005-08-31",143.576843,143.711334,141.649063,142.466003,10105600,142.466003
"2005-09-01",142.421173,143.213196,141.967865,142.59053,5504600,142.59053
"2005-09-02",142.720047,144.453552,142.685181,143.686432,6894600,143.686432
"2005-09-06",143.960403,144.154678,142.864502,143.018936,8456100,143.018936
"2005-09-07",142.411209,147.198257,142.107346,146.884445,15055100,146.884445
"2005-09-08",146.864517,149.081207,146.132263,147.143463,13276100,147.143463
"2005-09-09",148.084946,148.991547,147.726288,148.986557,8813800,148.986557
"2005-09-12",150.3116,155.12854,149.937988,154.291672,20850700,154.291672
"2005-09-13",153.923065,157.175873,152.513336,155.258057,20676900,155.258057
"2005-09-14",153.788559,156.055069,149.58931,150.934265,22636000,150.934265
"2005-09-15",149.20076,152.802261,148.398758,150.744965,31048300,150.744965
"2005-09-16",151.442352,151.681458,149.375107,149.53949,15216300,149.53949
"2005-09-19",149.937988,152.428665,149.793533,151.327789,11566900,151.327789
"2005-09-20",152.503387,155.068771,152.045105,153.380096,18772000,153.380096
"2005-09-21",153.629166,156.294174,152.408737,155.367645,20315200,155.367645
"2005-09-22",155.168396,159.013977,154.505875,155.103638,26110200,155.103638
"2005-09-23",155.915588,158.012726,155.711349,157.091187,17031100,157.091187
"2005-09-26",159.153458,159.875748,155.696411,156.553207,19862800,156.553207
"2005-09-27",156.886948,158.610489,156.104874,156.383835,13797600,156.383835
"2005-09-28",156.523315,156.96167,152.229401,152.428665,16054600,152.428665
"2005-09-29",152.767395,154.779846,152.468506,154.231903,11269600,154.231903
"2005-09-30",156.523315,158.157181,155.56192,157.63913,18371200,157.63913
"2005-10-03",156.229416,159.457321,155.810989,158.74498,18389200,158.74498
"2005-10-04",159.377609,160.040131,154.78981,154.919327,18357000,154.919327
"2005-10-05",155.761169,156.862045,153.424927,154.774872,16719100,154.774872
"2005-10-06",156.483459,156.652832,154.466019,155.791061,16047400,155.791061
"2005-10-07",156.807251,157.743744,154.690186,155.910614,13591300,155.910614
"2005-10-10",156.070007,156.822189,153.997772,154.74498,11186100,154.74498
"2005-10-11",154.725052,155.741241,151.860794,152.47847,17149100,152.47847
"2005-10-12",152.030151,153.021439,148.941727,149.92305,18682100,149.92305
"2005-10-13",150.436127,150.436127,144.797272,148.164642,21214500,148.164642
"2005-10-14",149.390045,149.554428,145.723785,147.517075,17102000,147.517075
"2005-10-17",148.194534,152.030151,146.730026,151.930527,15190000,151.930527
"2005-10-18",151.910599,153.404999,150.804749,151.073746,14208600,151.073746
"2005-10-19",151.432388,154.35643,151.412476,153.773621,14073900,153.773621
"2005-10-20",154.416214,154.984085,150.042603,151.03389,27927600,151.03389
"2005-10-21",172.254349,172.568176,165.87825,169.315369,45956300,169.315369
"2005-10-24",171.043884,173.997818,170.456085,173.674026,18934000,173.674026
"2005-10-25",172.244385,173.051361,170.789841,172.807281,13808100,172.807281
"2005-10-26",172.493454,177.335297,172.448624,177.056351,17881700,177.056351
"2005-10-27",177.634186,177.878265,175.183365,175.870789,10307200,175.870789
"2005-10-28",176.971664,178.804794,176.847137,178.416245,11851200,178.416245
"2005-10-31",179.447388,186.675293,179.083755,185.375168,28793200,185.375168
"2005-11-01",185.235687,191.233215,183.81601,188.981644,32834800,188.981644
"2005-11-02",190.137314,191.781158,187.880783,189.131088,21209900,189.131088
"2005-11-03",190.490997,192.568207,189.977921,192.254379,14952500,192.254379
"2005-11-04",194.261856,195.163483,192.00531,194.486023,17715900,194.486023
"2005-11-07",196.812302,197.992874,195.342804,196.777435,19254800,196.777435
"2005-11-08",196.388885,197.056381,193.564468,194.222015,15854100,194.222015
"2005-11-09",192.613037,193.420013,188.309174,188.867081,21012200,188.867081
"2005-11-10",188.473557,194.944305,188.010284,194.819763,18325700,194.819763
"2005-11-11",196.822266,197.708939,193.698975,194.471069,14180700,194.471069
"2005-11-14",195.327866,198.36647,195.033966,197.743805,15674300,197.743805
"2005-11-15",196.453644,197.758759,194.745041,195.666595,17314400,195.666595
"2005-11-16",197.360245,198.680298,196.319153,198.331604,17455400,198.331604
"2005-11-17",200.149796,201.151031,199.019028,200.97171,18493400,200.97171
"2005-11-18",200.991638,201.494751,199.178436,199.357758,14103800,199.357758
"2005-11-21",198.839706,204.224518,196.0103,203.91568,20747600,203.91568
"2005-11-22",203.561996,207.875824,202.356522,207.457397,19263800,207.457397
"2005-11-23",207.741333,211.567001,207.113693,210.640472,20245500,210.640472
"2005-11-25",212.095016,213.574463,211.855911,213.50972,9716400,213.50972
"2005-11-28",214.107468,214.814819,210.431259,210.94931,22099300,210.94931
"2005-11-29",211.437485,212.403854,200.319153,201.016541,43152600,201.016541
"2005-11-30",201.375198,203.462372,197.041443,201.69899,31310000,201.69899
"2005-12-01",203.835968,206.944321,203.382675,206.271835,19562700,206.271835
"2005-12-02",207.691528,208.981689,206.157272,208.070099,15143400,208.070099
"2005-12-05",207.721405,207.970474,201.385162,202.167221,20655800,202.167221
"2005-12-06",203.586899,207.427505,200.099976,201.514679,30363900,201.514679
"2005-12-07",202.321655,202.590637,198.759995,201.35527,23419200,201.35527
"2005-12-08",201.89325,204.558258,200.568222,204.558258,17886700,204.558258
"2005-12-09",206.725143,207.113693,203.517166,203.835968,15344000,203.835968
"2005-12-12",206.540833,206.829758,204.209579,205.534607,13952300,205.534607
"2005-12-13",205.479813,208.219543,205.051422,207.9655,16388700,207.9655
"2005-12-14",207.741333,209.081314,206.969223,208.697754,13310400,208.697754
"2005-12-15",208.772476,210.779938,207.472336,210.486053,12136800,210.486053
"2005-12-16",211.875839,215.442474,210.585678,214.271851,32783300,214.271851
"2005-12-19",215.29303,222.271866,209.270599,211.507217,44037900,211.507217
"2005-12-20",213.131134,215.29303,211.542084,214.067627,20244900,214.067627
"2005-12-21",215.965515,217.614334,209.569489,212.368988,22527800,212.368988
"2005-12-22",215.078827,215.621796,212.169739,215.213333,15149600,215.213333
"2005-12-23",215.268127,215.442474,213.589417,214.6604,9224500,214.6604
"2005-12-27",215.123657,215.123657,210.590652,211.527145,13455800,211.527145
"2005-12-28",211.377701,213.091278,209.84346,212.548309,14289100,212.548309
"2005-12-29",213.190903,213.564514,208.802353,209.290527,13943500,209.290527
"2005-12-30",207.855911,208.324142,206.097488,206.655411,15231000,206.655411
"2006-01-03",210.4711,217.021545,208.329132,216.802368,26340700,216.802368
"2006-01-04",221.121185,223.641739,219.053925,221.788681,30687300,221.788681
"2006-01-05",222.167267,224.9319,219.925659,224.777481,21697600,224.777481
"2006-01-06",227.58197,234.371521,225.773743,231.960556,35646900,231.960556
"2006-01-09",232.334152,235.816101,229.609375,232.578247,25679600,232.578247
"2006-01-10",231.342865,234.246979,230.157318,234.002899,18262300,234.002899
"2006-01-11",234.755081,236.667908,233.713989,234.934402,18082300,234.934402
"2006-01-12",235.97551,236.608139,229.888321,230.949341,20326400,230.949341
"2006-01-13",231.288071,232.573257,229.943115,232.254456,15370500,232.254456
"2006-01-17",230.665405,234.072632,230.401398,232.682846,16602500,232.682846
"2006-01-18",222.814835,227.82605,220.797394,221.624298,41124800,221.624298
"2006-01-19",224.742615,225.898285,215.691528,217.410095,29183500,217.410095
"2006-01-20",218.530899,219.193405,196.632965,198.984161,82541500,198.984161
"2006-01-23",202.929367,213.395142,202.107452,212.951797,45653100,212.951797
"2006-01-24",217.200882,221.644226,216.428772,220.687805,31045100,220.687805
"2006-01-25",224.787445,226.266891,213.808594,215.691528,37620000,215.691528
"2006-01-26",218.949326,219.173477,210.989166,216.324158,25949000,216.324158
"2006-01-27",216.687805,218.291794,213.689041,215.935623,16967700,215.935623
"2006-01-30",213.813568,215.831009,211.706467,212.613068,17242100,212.613068
"2006-01-31",214.481079,218.979218,211.19339,215.522171,44297300,215.522171
"2006-02-01",193.788635,200.24942,193.036453,200.139832,54448200,200.139832
"2006-02-02",201.156021,202.491013,197.250656,197.280548,23703900,197.280548
"2006-02-03",196.075058,196.214539,185.589371,190.062592,36700500,190.062592
"2006-02-06",191.935577,194.222015,189.07132,191.830963,17947700,191.830963
"2006-02-07",190.779907,191.133591,180.996582,183.273041,33385000,183.273041
"2006-02-08",183.552002,184.652878,176.672791,183.850876,41764100,183.850876
"2006-02-09",184.906921,186.500946,177.390091,178.715134,23914000,178.715134
"2006-02-10",180.299194,181.569427,175.910645,180.62796,30561000,180.62796
"2006-02-13",172.672775,174.645386,170.306656,172.204529,39583300,172.204529
