"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2005-09-15",38.02,38.099998,37,37.009998,1529800,27.653549
"2005-09-16",37,37,36.599998,36.599998,62400,27.347206
"2005-09-19",36.599998,36.700001,36.450001,36.700001,1162300,27.421921
"2005-09-20",36.599998,37,36.599998,36.700001,654900,27.421921
"2005-09-21",36.599998,36.599998,36,36.400002,424300,27.19776
"2005-09-22",36.400002,37.200001,36.400002,37.200001,864800,27.795525
"2005-09-23",37.200001,38.099998,37.200001,37.68,1249900,28.154179
"2005-09-26",37.75,38.150002,37.75,37.75,821400,28.206474
"2005-09-27",37.75,37.900002,37.139999,37.25,1514000,27.832878
"2005-09-28",37.240002,37.400002,36.799999,37,875700,27.646082
"2005-09-29",36.91,36.91,36.25,36.599998,2659200,27.347206
"2005-09-30",36.599998,36.599998,35.599998,35.799999,4014800,26.749447
"2005-10-03",35.299999,35.900002,34.169998,34.700001,10007600,25.927532
"2005-10-04",34,34.299999,33.25,33.900002,8040300,25.329786
"2005-10-05",34,34.099998,33.32,33.650002,6304400,25.142984
"2005-10-06",33.400002,33.650002,33.209999,33.369999,7552200,24.933769
"2005-10-07",33.279999,33.599998,33.130001,33.599998,7055200,25.105629
"2005-10-10",33.599998,33.599998,33,33.029999,3400800,24.679728
"2005-10-11",33.040001,33.389999,32.98,33,3675400,24.657312
"2005-10-12",32.900002,33.299999,32.720001,32.77,4134500,24.485462
"2005-10-13",32.529999,32.700001,32.48,32.549999,3184100,24.321081
"2005-10-14",32.52,32.75,32.380001,32.389999,2487500,24.20153
"2005-10-17",32.34,32.77,32,32.48,1910400,24.268768
"2005-10-18",32.299999,32.549999,32.150002,32.43,1737900,24.231424
"2005-10-19",32.279999,33.16,32.209999,33.16,1784400,24.776867
"2005-10-20",33.16,34.060001,33.099998,33.580002,2789600,25.090691
"2005-10-21",33.779999,34.5,33.630001,34,2881800,25.404503
"2005-10-24",35.25,36.48,34.93,36.290001,4013400,27.115578
"2005-10-25",35.34,37.470001,35.279999,37.18,2900400,27.780579
"2005-10-26",36.849998,37.720001,36.700001,37,2208000,27.646082
"2005-10-27",36.950001,37,35.799999,36.279999,2033000,27.108101
"2005-10-28",36.5,37.200001,36.209999,37.099998,1430200,27.720802
"2005-10-31",37.209999,37.599998,36.959999,37.220001,1211600,27.810472
"2005-11-01",36.900002,36.959999,36.459999,36.560001,1574900,27.317314
"2005-11-02",36.220001,36.900002,36.18,36.799999,1201600,27.579638
"2005-11-03",36.720001,37.619999,36.720001,37.419998,1887900,28.044287
"2005-11-04",37.330002,37.419998,37.02,37.169998,1731900,27.856905
"2005-11-07",37.099998,37.169998,36.82,37.02,1658700,27.744499
"2005-11-08",36.650002,37.200001,36.650002,36.959999,2119200,27.699537
"2005-11-09",36.959999,38.18,36.900002,37.880001,2152200,28.389034
"2005-11-10",37.75,39.299999,37.75,38.919998,2513200,29.16844
"2005-11-11",38.5,38.959999,38.470001,38.91,1229800,29.160954
"2005-11-14",38.799999,39.400002,38.509998,39.34,1160000,29.483204
"2005-11-15",39,39.400002,38.470001,39.209999,1793000,29.385796
"2005-11-16",39.349998,40,39.09,39.830002,2568800,29.850451
"2005-11-17",40.099998,41.18,39.779999,40,2628100,29.977846
"2005-11-18",40.450001,40.869999,39.639999,39.919998,1556000,29.917902
"2005-11-21",40.169998,42,40.169998,41.580002,2906900,31.161972
"2005-11-22",41.400002,42.389999,41.290001,42.150002,2368700,31.589165
